Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c - dc,,soc
16,210.2333625,12-14-2015 09:36:12,150.2177496,2,1,0.999364197,3.486689568,0.041701997,0,0.142577406,0,0.000615835,0,0,0,0,,,,
17,220.2489188,12-14-2015 09:36:22,160.233306,2,1,0.999544024,3.493658066,0.044482407,0,0.152281304,0,0.00058341,0,0,0,0,,,,
18,230.2644962,12-14-2015 09:36:32,170.2488835,2,1,0.999544024,3.500464678,0.047262852,0,0.162004534,0,0.000551033,0,0,0,0,,,,
19,240.2800672,12-14-2015 09:36:42,180.2644545,2,1,0.999364197,3.506784916,0.050043299,0,0.17174629,0,0.000453758,0,0,0,0,,,,
20,250.2955852,12-14-2015 09:36:52,190.2799723,2,1,0.999364197,3.513105392,0.052823685,0,0.181505583,0,0.000486183,0,0,0,0,,,,
21,260.3112182,12-14-2015 09:37:02,200.2956053,2,1,0.999364197,3.51910162,0.055604153,0,0.191282324,0,0.000453758,0,0,0,0,,,,
22,270.3267013,12-14-2015 09:37:12,210.3110884,2,1,0.999544024,3.525097847,0.058384589,0,0.201075346,0,0.000453758,0,0,0,0,,,,
23,280.3422901,12-14-2015 09:37:22,220.3266772,2,1,0.999544024,3.530445814,0.06116503,0,0.210883894,0,0.000453758,0,0,0,0,,,,
24,290.3578288,12-14-2015 09:37:32,230.342216,2,1,0.999364197,3.53546977,0.063945473,0,0.220707179,0,0.000388956,0,0,0,0,,,,
25,300.3733754,12-14-2015 09:37:42,240.3577625,2,1,0.999544024,3.540169477,0.066725949,0,0.230544072,0,0.000388956,0,0,0,0,,,,
26,310.388944,12-14-2015 09:37:52,250.3733311,2,1,0.999544024,3.5440588,0.069506401,0,0.240392711,0,0.000291681,0,0,0,0,,,,
27,320.4045172,12-14-2015 09:38:02,260.3889043,2,1,0.999364197,3.547137976,0.072286871,0,0.250250929,0,0.000226879,0,0,0,0,,,,
28,330.4200546,12-14-2015 09:38:12,270.4044417,2,1,0.999544024,3.548920631,0.075067283,0,0.260115863,0,0.000129652,0,0,0,0,,,,
29,340.4355997,12-14-2015 09:38:22,280.4199867,2,1,0.999544024,3.550541401,0.077847746,0,0.26998591,0,0.000129652,0,0,0,0,,,,
30,350.4512219,12-14-2015 09:38:32,290.4356091,2,1,0.999364197,3.551513672,0.080628205,0,0.279859465,0,6.48022E-05,0,0,0,0,,,,
31,360.4667412,12-14-2015 09:38:42,300.4511284,2,1,0.999544024,3.552485943,0.083408644,0,0.289735613,0,6.48022E-05,0,0,0,0,,,,
32,370.4823103,12-14-2015 09:38:52,310.4666974,2,1,0.999364197,3.553296328,0.086189093,0,0.299614095,0,6.48022E-05,0,0,0,0,,,,
33,380.4978645,12-14-2015 09:39:02,320.4822516,2,1,0.999364197,3.553944588,0.088969548,0,0.309494698,0,6.48499E-05,0,0,0,0,,,,
34,390.5133849,12-14-2015 09:39:12,330.497772,2,1,0.999544024,3.554754972,0.091749964,0,0.319377053,0,9.72748E-05,0,0,0,0,,,,
35,400.5290144,12-14-2015 09:39:22,340.5134015,2,1,0.999364197,3.555241108,0.094530434,0,0.329261545,0,0,0,0,0,0,,,,
36,410.544508,12-14-2015 09:39:32,350.5288953,2,1,0.999364197,3.555889368,0.097310868,0,0.339147766,0,3.24249E-05,0,0,0,0,,,,
37,420.5600754,12-14-2015 09:39:42,360.5444625,2,1,0.999364197,3.556699514,0.100091333,0,0.349035977,0,3.23772E-05,0,0,0,0,,,,
38,430.5756192,12-14-2015 09:39:52,370.5600063,2,1,0.999544024,3.557347775,0.102871791,0,0.358925906,0,6.48022E-05,0,0,0,0,,,,
39,440.5911799,12-14-2015 09:40:02,380.5755669,2,1,0.999364197,3.55783391,0.105652256,0,0.368817775,0,3.23772E-05,0,0,0,0,,,,
40,450.606756,12-14-2015 09:40:12,390.5911431,2,1,0.999364197,3.55848217,0.108432697,0,0.37871139,0,3.23772E-05,0,0,0,0,,,,
41,460.6222905,12-14-2015 09:40:22,400.6066776,2,1,0.999364197,3.559292555,0.111213143,0,0.388606905,0,6.48022E-05,0,0,0,0,,,,
42,470.6378554,12-14-2015 09:40:32,410.6222425,2,1,0.99918437,3.559940815,0.113993611,0,0.398504271,0,3.24249E-05,0,0,0,0,,,,
43,480.6534328,12-14-2015 09:40:42,420.6378199,2,1,0.999364197,3.560589075,0.116774066,0,0.408403513,0,6.48499E-05,0,0,0,0,,,,
44,490.6689927,12-14-2015 09:40:52,430.6533801,2,1,0.999544024,3.56139946,0.119554545,0,0.418304704,0,6.48499E-05,0,0,0,0,,,,
45,500.6845599,12-14-2015 09:41:02,440.6689472,2,1,0.999544024,3.562047482,0.122335016,0,0.428207727,0,3.23772E-05,0,0,0,0,,,,
46,510.7000831,12-14-2015 09:41:12,450.6844702,2,1,0.999544024,3.562695742,0.125115477,0,0.438112483,0,6.48022E-05,0,0,0,0,,,,
47,520.7156613,12-14-2015 09:41:22,460.7000484,2,1,0.99918437,3.563344002,0.127895958,0,0.448019221,0,9.72271E-05,0,0,0,0,,,,
48,530.7311993,12-14-2015 09:41:32,470.7155864,2,1,0.999364197,3.563830376,0.130676444,0,0.457927789,0,3.24249E-05,0,0,0,0,,,,
49,540.7467653,12-14-2015 09:41:42,480.7311524,2,1,0.999544024,3.564478397,0.133456914,0,0.467838167,0,3.23772E-05,0,0,0,0,,,,
50,550.7623188,12-14-2015 09:41:52,490.7467059,2,1,0.999364197,3.565126657,0.136237374,0,0.47775031,0,3.23772E-05,0,0,0,0,,,,
51,560.7779086,12-14-2015 09:42:02,500.7622957,2,1,0.999364197,3.565937042,0.13901784,0,0.487664374,0,9.72271E-05,0,0,0,0,,,,
52,570.7934255,12-14-2015 09:42:12,510.7778126,2,1,0.999364197,3.566585302,0.141798342,0,0.497580487,0,0,0,0,0,0,,,,
53,580.8089939,12-14-2015 09:42:22,520.793381,2,1,0.999364197,3.567233562,0.144578786,0,0.507498137,0,3.24249E-05,0,0,0,0,,,,
54,590.8245578,12-14-2015 09:42:32,530.8089451,2,1,0.999364197,3.567719698,0.147359273,0,0.517417362,0,6.48022E-05,0,0,0,0,,,,
55,600.8401051,12-14-2015 09:42:42,540.8244922,2,1,0.999544024,3.568530083,0.150139704,0,0.527338429,0,3.24249E-05,0,0,0,0,,,,
56,610.8556572,12-14-2015 09:42:52,550.8400443,2,1,0.999544024,3.569178343,0.152920157,0,0.537261408,0,6.48499E-05,0,0,0,0,,,,
57,620.8712401,12-14-2015 09:43:02,560.8556275,2,1,0.999364197,3.569826603,0.155700603,0,0.547186249,0,3.24249E-05,0,0,0,0,,,,
58,630.8867678,12-14-2015 09:43:12,570.8711548,2,1,0.999364197,3.570636749,0.158481038,0,0.557112819,0,9.72271E-05,0,0,0,0,,,,
59,640.9023587,12-14-2015 09:43:22,580.8867459,2,1,0.999364197,3.571285009,0.161261473,0,0.567041293,0,9.72271E-05,0,0,0,0,,,,
60,650.9178923,12-14-2015 09:43:32,590.9022795,2,1,0.999544024,3.571771145,0.164041919,0,0.576971657,0,3.23772E-05,0,0,0,0,,,,
61,660.9335213,12-14-2015 09:43:42,600.9179086,2,1,0.999364197,3.572419405,0.166822389,0,0.586903967,0,3.23772E-05,0,0,0,0,,,,
62,670.9490241,12-14-2015 09:43:52,610.9334111,2,1,0.999364197,3.573067665,0.169602814,0,0.596837867,0,3.24249E-05,0,0,0,0,,,,
63,680.9645607,12-14-2015 09:44:02,620.9489478,2,1,0.999544024,3.57387805,0.17238324,0,0.606773699,0,6.48499E-05,0,0,0,0,,,,
64,690.9645704,12-14-2015 09:44:12,630.9489579,2,1,0.999544024,3.57452631,0.175159377,0,0.616696078,0,6.48499E-05,0,0,0,0,,,,
65,700.9800755,12-14-2015 09:44:22,640.9644626,2,1,0.99918437,3.57517457,0.177939855,0,0.626635863,0,3.24249E-05,0,0,0,0,,,,
66,710.995612,12-14-2015 09:44:32,650.9799991,2,1,0.999544024,3.575984716,0.180720339,0,0.636577575,0,6.48022E-05,0,0,0,0,,,,
67,721.0112032,12-14-2015 09:44:42,660.9955904,2,1,0.999364197,3.576632977,0.183500789,0,0.646521083,0,3.23772E-05,0,0,0,0,,,,
68,731.0267152,12-14-2015 09:44:52,671.0111022,2,1,0.999364197,3.577281237,0.186281249,0,0.656466633,0,6.48022E-05,0,0,0,0,,,,
69,741.0422898,12-14-2015 09:45:02,681.0266769,2,1,0.999544024,3.577929497,0.189061709,0,0.666414047,0,6.48022E-05,0,0,0,0,,,,
70,751.0578464,12-14-2015 09:45:12,691.0422337,2,1,0.999544024,3.578902006,0.191842173,0,0.676363579,0,9.72748E-05,0,0,0,0,,,,
71,761.0733895,12-14-2015 09:45:22,701.0577765,2,1,0.999364197,3.579550028,0.194622622,0,0.686315125,0,9.72271E-05,0,0,0,0,,,,
72,771.0889513,12-14-2015 09:45:32,711.0733384,2,1,0.999364197,3.580360413,0.19740305,0,0.696268676,0,6.48022E-05,0,0,0,0,,,,
73,781.1045007,12-14-2015 09:45:42,721.0888878,2,1,0.999364197,3.581008673,0.200183522,0,0.706224602,0,9.72271E-05,0,0,0,0,,,,
74,791.1200596,12-14-2015 09:45:52,731.1044467,2,1,0.999364197,3.581819057,0.202963963,0,0.716182619,0,6.48499E-05,0,0,0,0,,,,
75,801.1356227,12-14-2015 09:46:02,741.1200097,2,1,0.999364197,3.582629204,0.205744438,0,0.726143073,0,6.48022E-05,0,0,0,0,,,,
76,811.1511708,12-14-2015 09:46:12,751.1355579,2,1,0.999544024,3.583601713,0.208524898,0,0.736105686,0,9.72271E-05,0,0,0,0,,,,
77,821.1668468,12-14-2015 09:46:23,761.1512339,2,1,0.999364197,3.584249973,0.211305363,0,0.746070741,0,6.48499E-05,0,0,0,0,,,,
78,831.1823365,12-14-2015 09:46:33,771.1667238,2,1,0.999364197,3.585384369,0.214085779,0,0.756038072,0,9.72271E-05,0,0,0,0,,,,
79,841.1978544,12-14-2015 09:46:43,781.1822415,2,1,0.999364197,3.586194515,0.216866217,0,0.766007957,0,6.48022E-05,0,0,0,0,,,,
80,851.2134314,12-14-2015 09:46:53,791.1978186,2,1,0.999544024,3.587329149,0.219646683,0,0.775980547,0,0.000129652,0,0,0,0,,,,
81,861.2289609,12-14-2015 09:47:03,801.213348,2,1,0.999544024,3.587977171,0.22242715,0,0.785955798,0,3.23772E-05,0,0,0,0,,,,
82,871.2445162,12-14-2015 09:47:13,811.2289033,2,1,0.999364197,3.589111805,0.225207632,0,0.795933712,0,9.72748E-05,0,0,0,0,,,,
83,881.2600742,12-14-2015 09:47:23,821.2444612,2,1,0.999364197,3.590084076,0.227988058,0,0.805914311,0,9.72271E-05,0,0,0,0,,,,
84,891.2756681,12-14-2015 09:47:33,831.2600553,2,1,0.999544024,3.591218472,0.230768518,0,0.81589791,0,9.72271E-05,0,0,0,0,,,,
85,901.291196,12-14-2015 09:47:43,841.275583,2,1,0.999364197,3.592190742,0.233548977,0,0.825884498,0,9.72271E-05,0,0,0,0,,,,
86,911.3067564,12-14-2015 09:47:53,851.2911435,2,1,0.999364197,3.593163252,0.236329451,0,0.835874175,0,3.24249E-05,0,0,0,0,,,,
87,921.3223119,12-14-2015 09:48:03,861.3066989,2,1,0.999364197,3.594621658,0.239109908,0,0.845866872,0,0.000129652,0,0,0,0,,,,
88,931.3378611,12-14-2015 09:48:13,871.3222482,2,1,0.99918437,3.595594168,0.241890366,0,0.855862765,0,6.48499E-05,0,0,0,0,,,,
89,941.3534264,12-14-2015 09:48:23,881.3378135,2,1,0.999544024,3.596890688,0.244670806,0,0.865861838,0,0.000129652,0,0,0,0,,,,
90,951.3689786,12-14-2015 09:48:33,891.3533657,2,1,0.999364197,3.598025084,0.247451265,0,0.875864341,0,9.72271E-05,0,0,0,0,,,,
91,961.384583,12-14-2015 09:48:43,901.3689701,2,1,0.999364197,3.599159479,0.250231735,0,0.885870153,0,9.72271E-05,0,0,0,0,,,,
92,971.4000917,12-14-2015 09:48:53,911.3844787,2,1,0.99918437,3.600293875,0.253012183,0,0.895879376,0,9.72271E-05,0,0,0,0,,,,
93,981.4156822,12-14-2015 09:49:03,921.4000696,2,1,0.999364197,3.60175252,0.255792663,0,0.905892138,0,9.72748E-05,0,0,0,0,,,,
94,991.4312057,12-14-2015 09:49:13,931.4155928,2,1,0.999364197,3.603048801,0.258573106,0,0.915908342,0,9.72271E-05,0,0,0,0,,,,
95,1001.446768,12-14-2015 09:49:23,941.4311555,2,1,0.99918437,3.604021311,0.261353594,0,0.925928241,0,6.48499E-05,0,0,0,0,,,,
96,1011.462318,12-14-2015 09:49:33,951.4467047,2,1,0.999364197,3.605479717,0.264134055,0,0.935951675,0,3.23772E-05,0,0,0,0,,,,
97,1021.477916,12-14-2015 09:49:43,961.4623032,2,1,0.999364197,3.606938362,0.266914525,0,0.945978717,0,0.000129652,0,0,0,0,,,,
98,1031.493453,12-14-2015 09:49:53,971.4778405,2,1,0.999364197,3.608234882,0.269694961,0,0.956009281,0,0.000129652,0,0,0,0,,,,
99,1041.508989,12-14-2015 09:50:03,981.4933764,2,1,0.999544024,3.609531403,0.272475401,0,0.966043394,0,0.000129652,0,0,0,0,,,,
100,1051.524568,12-14-2015 09:50:13,991.5089548,2,1,0.999364197,3.610827923,0.275255836,0,0.976081215,0,6.48499E-05,0,0,0,0,,,,
101,1061.540111,12-14-2015 09:50:23,1001.524498,2,1,0.999364197,3.612124205,0.278036308,0,0.98612281,0,0.000129652,0,0,0,0,,,,
102,1071.555677,12-14-2015 09:50:33,1011.540064,2,1,0.999544024,3.613420725,0.280816783,0,0.996168093,0,6.48022E-05,0,0,0,0,,,,
103,1081.57123,12-14-2015 09:50:43,1021.555618,2,1,0.999544024,3.61487937,0.28359723,0,1.006216888,0,0.000129652,0,0,0,0,,,,
104,1091.586779,12-14-2015 09:50:53,1031.571166,2,1,0.999544024,3.61617589,0.28637771,0,1.016269447,0,9.72748E-05,0,0,0,0,,,,
105,1101.602365,12-14-2015 09:51:03,1041.586752,2,1,0.999544024,3.617310286,0.289158188,0,1.026325643,0,0.000129652,0,0,0,0,,,,
106,1111.617988,12-14-2015 09:51:13,1051.602376,2,1,0.999364197,3.618930817,0.291938675,0,1.036385593,0,0.000129652,0,0,0,0,,,,
107,1121.633455,12-14-2015 09:51:23,1061.617842,2,1,0.999364197,3.619903088,0.294719142,0,1.046449075,0,9.72271E-05,0,0,0,0,,,,
108,1131.649005,12-14-2015 09:51:33,1071.633392,2,1,0.999364197,3.621361732,0.297499599,0,1.056516231,0,9.72271E-05,0,0,0,0,,,,
109,1141.664571,12-14-2015 09:51:43,1081.648958,2,1,0.999364197,3.622658253,0.300280031,0,1.066586982,0,0.000129652,0,0,0,0,,,,
110,1151.680304,12-14-2015 09:51:53,1091.664691,2,1,0.999364197,3.624116659,0.303060556,0,1.076661916,0,9.72271E-05,0,0,0,0,,,,
111,1161.695702,12-14-2015 09:52:03,1101.680089,2,1,0.999364197,3.625251293,0.305840946,0,1.086740037,0,9.72748E-05,0,0,0,0,,,,
112,1171.711276,12-14-2015 09:52:13,1111.695663,2,1,0.99918437,3.6267097,0.308621425,0,1.09682231,0,9.72271E-05,0,0,0,0,,,,
113,1181.726847,12-14-2015 09:52:23,1121.711234,2,1,0.99918437,3.62800622,0.311401898,0,1.106908366,0,9.72271E-05,0,0,0,0,,,,
114,1191.742384,12-14-2015 09:52:33,1131.726771,2,1,0.999544024,3.629464865,0.31418235,0,1.116998173,0,9.72748E-05,0,0,0,0,,,,
115,1201.757928,12-14-2015 09:52:43,1141.742315,2,1,0.999544024,3.630923271,0.316962837,0,1.127091794,0,9.72271E-05,0,0,0,0,,,,
116,1211.773502,12-14-2015 09:52:53,1151.75789,2,1,0.999364197,3.632057667,0.319743324,0,1.137189226,0,6.48022E-05,0,0,0,0,,,,
117,1221.78903,12-14-2015 09:53:03,1161.773417,2,1,0.999364197,3.633354187,0.322523776,0,1.147290171,0,6.48022E-05,0,0,0,0,,,,
118,1231.804599,12-14-2015 09:53:13,1171.788986,2,1,0.999364197,3.634812832,0.325304244,0,1.157394844,0,9.72271E-05,0,0,0,0,,,,
119,1241.820189,12-14-2015 09:53:23,1181.804576,2,1,0.999364197,3.635947227,0.328084725,0,1.167503056,0,6.48499E-05,0,0,0,0,,,,
120,1251.835701,12-14-2015 09:53:33,1191.820088,2,1,0.999364197,3.637243748,0.330865155,0,1.177614552,0,9.72748E-05,0,0,0,0,,,,
121,1261.851263,12-14-2015 09:53:43,1201.83565,2,1,0.999364197,3.638378143,0.33364562,0,1.187729546,0,6.48499E-05,0,0,0,0,,,,
122,1271.866826,12-14-2015 09:53:53,1211.851214,2,1,0.999544024,3.639674664,0.33642613,0,1.197848036,0,9.72748E-05,0,0,0,0,,,,
123,1281.882366,12-14-2015 09:54:03,1221.866753,2,1,0.999544024,3.640809059,0.339206554,0,1.207969327,0,9.72271E-05,0,0,0,0,,,,
124,1291.897927,12-14-2015 09:54:13,1231.882314,2,1,0.999364197,3.641943455,0.341986998,0,1.218093889,0,0.000129652,0,0,0,0,,,,
125,1301.91348,12-14-2015 09:54:23,1241.897867,2,1,0.999364197,3.642915726,0.344767448,0,1.228221598,0,6.48022E-05,0,0,0,0,,,,
126,1311.929109,12-14-2015 09:54:33,1251.913496,2,1,0.999364197,3.644212246,0.347547927,0,1.23835256,0,0.000129652,0,0,0,0,,,,
127,1321.944668,12-14-2015 09:54:43,1261.929055,2,1,0.999544024,3.645346642,0.350328414,0,1.248486653,0,0.000129652,0,0,0,0,,,,
128,1331.960203,12-14-2015 09:54:53,1271.94459,2,1,0.999364197,3.646319151,0.353108924,0,1.258623919,0,6.48499E-05,0,0,0,0,,,,
129,1341.975751,12-14-2015 09:55:03,1281.960138,2,1,0.999364197,3.647615433,0.355889381,0,1.268764111,0,0.000129604,0,0,0,0,,,,
130,1351.991278,12-14-2015 09:55:13,1291.975666,2,1,0.999544024,3.648750067,0.358669853,0,1.278907491,0,9.72748E-05,0,0,0,0,,,,
131,1362.006826,12-14-2015 09:55:23,1301.991213,2,1,0.999544024,3.649722338,0.361450309,0,1.289054014,0,6.48022E-05,0,0,0,0,,,,
132,1372.022421,12-14-2015 09:55:33,1312.006808,2,1,0.999544024,3.650856733,0.364230774,0,1.299203512,0,0.000129652,0,0,0,0,,,,
133,1382.03796,12-14-2015 09:55:43,1322.022347,2,1,0.99918437,3.652153254,0.367011207,0,1.309356381,0,9.72271E-05,0,0,0,0,,,,
134,1392.053526,12-14-2015 09:55:53,1332.037913,2,1,0.999364197,3.653449774,0.369791652,0,1.319512589,0,9.72271E-05,0,0,0,0,,,,
135,1402.069059,12-14-2015 09:56:03,1342.053446,2,1,0.999364197,3.654422045,0.372572077,0,1.329672071,0,6.48022E-05,0,0,0,0,,,,
136,1412.084632,12-14-2015 09:56:13,1352.069019,2,1,0.999364197,3.655718565,0.375352531,0,1.33983501,0,9.72271E-05,0,0,0,0,,,,
137,1422.100176,12-14-2015 09:56:23,1362.084563,2,1,0.999364197,3.657015085,0.378132994,0,1.350001404,0,0.000129652,0,0,0,0,,,,
138,1432.115728,12-14-2015 09:56:33,1372.100115,2,1,0.999364197,3.658149481,0.380913479,0,1.360171341,0,3.24249E-05,0,0,0,0,,,,
139,1442.13129,12-14-2015 09:56:43,1382.115678,2,1,0.999364197,3.659770012,0.383693915,0,1.370344627,0,0.000162029,0,0,0,0,,,,
140,1452.131305,12-14-2015 09:56:53,1392.115693,2,1,0.999364197,3.660580397,0.386470055,0,1.38050569,0,9.72271E-05,0,0,0,0,,,,
141,1462.146773,12-14-2015 09:57:03,1402.13116,2,1,0.999364197,3.662039042,0.389250465,0,1.390685873,0,0.000129652,0,0,0,0,,,,
142,1472.162386,12-14-2015 09:57:14,1412.146774,2,1,0.999364197,3.663173437,0.392030925,0,1.400869808,0,3.24249E-05,0,0,0,0,,,,
143,1482.177925,12-14-2015 09:57:24,1422.162312,2,1,0.999364197,3.664631844,0.39481139,0,1.411057267,0,9.72271E-05,0,0,0,0,,,,
144,1492.193449,12-14-2015 09:57:34,1432.177836,2,1,0.999364197,3.665766239,0.397591825,0,1.421247959,0,9.72271E-05,0,0,0,0,,,,
145,1502.209033,12-14-2015 09:57:44,1442.19342,2,1,0.999364197,3.666900635,0.400372285,0,1.431442031,0,6.48022E-05,0,0,0,0,,,,
146,1512.224565,12-14-2015 09:57:54,1452.208952,2,1,0.999364197,3.668035269,0.403152704,0,1.441639071,0,6.48499E-05,0,0,0,0,,,,
147,1522.240114,12-14-2015 09:58:04,1462.224501,2,1,0.999364197,3.66900754,0.405933139,0,1.451839154,0,9.72271E-05,0,0,0,0,,,,
148,1532.255689,12-14-2015 09:58:14,1472.240076,2,1,0.999364197,3.670141935,0.408713583,0,1.462042093,0,9.72271E-05,0,0,0,0,,,,
149,1542.271271,12-14-2015 09:58:24,1482.255658,2,1,0.999364197,3.67095232,0.411494062,0,1.472247858,0,6.48499E-05,0,0,0,0,,,,
150,1552.286791,12-14-2015 09:58:34,1492.271178,2,1,0.999364197,3.67160058,0.41427452,0,1.482455827,0,3.24249E-05,0,0,0,0,,,,
151,1562.302356,12-14-2015 09:58:44,1502.286743,2,1,0.999364197,3.672572851,0.41705496,0,1.492666167,0,6.48022E-05,0,0,0,0,,,,
152,1572.317911,12-14-2015 09:58:54,1512.302298,2,1,0.999544024,3.673383236,0.419835396,0,1.502878731,0,3.24249E-05,0,0,0,0,,,,
153,1582.333461,12-14-2015 09:59:04,1522.317848,2,1,0.99918437,3.674193382,0.422615813,0,1.513093294,0,6.48022E-05,0,0,0,0,,,,
154,1592.349013,12-14-2015 09:59:14,1532.333408,2,1,0.999364197,3.674841642,0.425396256,0,1.52331007,0,6.48022E-05,0,0,0,0,,,,
155,1602.3646,12-14-2015 09:59:24,1542.348988,2,1,0.999364197,3.675489902,0.428176713,0,1.533528913,0,3.24249E-05,0,0,0,0,,,,
156,1612.380159,12-14-2015 09:59:34,1552.364546,2,1,0.999364197,3.676300287,0.430957165,0,1.54374969,0,3.24249E-05,0,0,0,0,,,,
157,1622.395713,12-14-2015 09:59:44,1562.3801,2,1,0.999364197,3.676948547,0.433737636,0,1.553972417,0,9.72271E-05,0,0,0,0,,,,
158,1632.411249,12-14-2015 09:59:54,1572.395636,2,1,0.999544024,3.677596807,0.43651805,0,1.564196858,0,3.24249E-05,0,0,0,0,,,,
159,1642.426804,12-14-2015 10:00:04,1582.411191,2,1,0.999364197,3.678245068,0.439298534,0,1.574423443,0,0,0,0,0,0,,,,
160,1652.442374,12-14-2015 10:00:14,1592.426761,2,1,0.999364197,3.678893328,0.442078999,0,1.584651792,0,3.24249E-05,0,0,0,0,,,,
161,1662.457914,12-14-2015 10:00:24,1602.442301,2,1,0.999364197,3.679703474,0.444859492,0,1.59488209,0,6.48022E-05,0,0,0,0,,,,
162,1672.473508,12-14-2015 10:00:34,1612.457895,2,1,0.999364197,3.680351734,0.447639936,0,1.605114067,0,3.24249E-05,0,0,0,0,,,,
163,1682.489088,12-14-2015 10:00:44,1622.473475,2,1,0.999544024,3.681162119,0.450420414,0,1.615348026,0,9.72271E-05,0,0,0,0,,,,
164,1692.504601,12-14-2015 10:00:54,1632.488988,2,1,0.999364197,3.68148613,0.453200838,0,1.625583493,0,3.23772E-05,0,0,0,0,,,,
165,1702.520199,12-14-2015 10:01:04,1642.504586,2,1,0.999364197,3.68213439,0.455981315,0,1.635821019,0,3.24249E-05,0,0,0,0,,,,
166,1712.535705,12-14-2015 10:01:14,1652.520093,2,1,0.999364197,3.68278265,0.458761743,0,1.646060161,0,6.48022E-05,0,0,0,0,,,,
167,1722.551295,12-14-2015 10:01:24,1662.535683,2,1,0.999544024,3.683593035,0.461542236,0,1.656301389,0,6.48499E-05,0,0,0,0,,,,
168,1732.566864,12-14-2015 10:01:34,1672.551252,2,1,0.999364197,3.684241295,0.464322667,0,1.666544119,0,3.24249E-05,0,0,0,0,,,,
169,1742.582372,12-14-2015 10:01:44,1682.56676,2,1,0.999364197,3.68472743,0.467103115,0,1.676788726,0,0,0,0,0,0,,,,
170,1752.597953,12-14-2015 10:01:54,1692.58234,2,1,0.999544024,3.685537815,0.46988358,0,1.687035176,0,9.72748E-05,0,0,0,0,,,,
171,1762.613487,12-14-2015 10:02:04,1702.597874,2,1,0.999544024,3.686185837,0.472664055,0,1.6972834,0,6.48022E-05,0,0,0,0,,,,
172,1772.62905,12-14-2015 10:02:14,1712.613437,2,1,0.999364197,3.686672211,0.475444474,0,1.707533069,0,6.48499E-05,0,0,0,0,,,,
173,1782.644632,12-14-2015 10:02:24,1722.629019,2,1,0.999544024,3.687320471,0.478224952,0,1.717784652,0,6.48499E-05,0,0,0,0,,,,
174,1792.660164,12-14-2015 10:02:34,1732.644551,2,1,0.999364197,3.687806606,0.481005397,0,1.728037803,0,3.24249E-05,0,0,0,0,,,,
