Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),SoC(%),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,,C - dC,,SoC
65,7840.761896,11-06-2015 22:17:41,640.7457832,2,1,0.999833703,3.601809025,0.177960185,0,0.6357171,0,6.48E-05,0,0.177960185,0,,,0.177960185,,8.857612715
66,7850.777496,11-06-2015 22:17:51,650.7613834,2,1,1.000014305,3.602942228,0.180741924,0,0.645737993,0,9.71E-05,0,0.180741924,0,,,0.180741924,,8.996683813
67,7860.793273,11-06-2015 22:18:01,660.7771603,2,1,0.999833703,3.603913546,0.183523726,0,0.65576228,0,6.48E-05,0,0.183523726,0,,,0.183523726,,9.135758061
68,7870.808482,11-06-2015 22:18:11,670.7923688,2,1,0.999833703,3.605046749,0.186305398,0,0.665789208,0,6.48E-05,0,0.186305398,0,,,0.186305398,,9.274825809
69,7880.808508,11-06-2015 22:18:21,680.7923953,2,1,1.000014305,3.606503725,0.189082813,0,0.675804109,0,0.000129509,0,0.189082813,0,,,0.189082813,,9.413680732
70,7890.82412,11-06-2015 22:18:31,690.8080078,2,1,0.999833703,3.607636929,0.191864552,0,0.685837919,0,9.71E-05,0,0.191864552,0,,,0.191864552,,9.55275183
71,7900.839411,11-06-2015 22:18:41,700.8232983,2,1,0.999833703,3.608608246,0.194646171,0,0.695874594,0,6.48E-05,0,0.194646171,0,,,0.194646171,,9.691816928
72,7910.855188,11-06-2015 22:18:51,710.8390758,2,1,1.000014305,3.609903336,0.197427939,0,0.705915194,0,6.48E-05,0,0.197427939,0,,,0.197427939,,9.830889476
73,7920.870821,11-06-2015 22:19:01,720.8547082,2,1,1.000014305,3.611198425,0.200209631,0,0.715958825,0,0.000129509,0,0.200209631,0,,,0.200209631,,9.969958224
74,7930.886313,11-06-2015 22:19:11,730.8702002,2,1,0.999833703,3.612331629,0.202991287,0,0.726005797,0,9.71E-05,0,0.202991287,0,,,0.202991287,,10.10902517
75,7940.901914,11-06-2015 22:19:21,740.8858008,2,1,0.999833703,3.613626719,0.20577302,0,0.736056462,0,9.71E-05,0,0.20577302,0,,,0.20577302,,10.24809597
76,7950.917111,11-06-2015 22:19:31,750.9009985,2,1,0.999833703,3.615083694,0.208550349,0,0.74609465,0,0.000161886,0,0.208550349,0,,,0.208550349,,10.38694659
77,7960.933009,11-06-2015 22:19:41,760.916896,2,1,0.999833703,3.616378784,0.211336383,0,0.756167704,0,0.000161886,0,0.211336383,0,,,0.211336383,,10.52623242
78,7970.94858,11-06-2015 22:19:51,770.9324677,2,1,0.999833703,3.617511988,0.214118109,0,0.766228709,0,0.000129509,0,0.214118109,0,,,0.214118109,,10.66530287
79,7980.963812,11-06-2015 22:20:01,780.9476994,2,1,0.999833703,3.618645191,0.216895461,0,0.776277282,0,0.000129509,0,0.216895461,0,,,0.216895461,,10.80415464
80,7990.963991,11-06-2015 22:20:11,790.9478778,2,1,0.999833703,3.619940281,0.219677164,0,0.786345124,0,0.000129107,0,0.219677164,0,,,0.219677164,,10.94322394
81,8000.979588,11-06-2015 22:20:21,800.9634753,2,1,0.999833703,3.621073484,0.222458854,0,0.796416394,0,6.48E-05,0,0.222458854,0,,,0.222458854,,11.08229258
82,8010.995128,11-06-2015 22:20:31,810.9790154,2,1,1.000014305,3.622692347,0.225240512,0,0.806491135,0,0.000161886,0,0.225240512,0,,,0.225240512,,11.22135963
83,8021.010684,11-06-2015 22:20:41,820.9945709,2,1,1.000014305,3.62382555,0.228022204,0,0.816569508,0,0.000161886,0,0.228022204,0,,,0.228022204,,11.36042838
84,8031.026275,11-06-2015 22:20:51,831.0101618,2,1,0.999833703,3.624958754,0.230803928,0,0.826651585,0,9.71E-05,0,0.230803928,0,,,0.230803928,,11.49949873
85,8041.041813,11-06-2015 22:21:01,841.0256999,2,1,0.999833703,3.62641573,0.233585646,0,0.836737067,0,0.000161886,0,0.233585646,0,,,0.233585646,,11.63856878
86,8051.057488,11-06-2015 22:21:11,851.0413755,2,1,1.000014305,3.627548933,0.236367404,0,0.846826306,0,0.000129509,0,0.236367404,0,,,0.236367404,,11.77764083
87,8061.072964,11-06-2015 22:21:21,861.0568513,2,1,1.000014305,3.628844023,0.239149112,0,0.856918863,0,0.000129509,0,0.239149112,0,,,0.239149112,,11.91671037
88,8071.088524,11-06-2015 22:21:31,871.0724117,2,1,0.999833703,3.630139112,0.241930841,0,0.867015117,0,0.000129509,0,0.241930841,0,,,0.241930841,,12.05578097
89,8081.104065,11-06-2015 22:21:41,881.0879525,2,1,1.000014305,3.631434202,0.24471251,0,0.877114584,0,0.000161886,0,0.24471251,0,,,0.24471251,,12.19484857
90,8091.11961,11-06-2015 22:21:51,891.1034971,2,1,1.000014305,3.632729292,0.247494182,0,0.88721762,0,0.000129509,0,0.247494182,0,,,0.247494182,,12.33391632
91,8101.135182,11-06-2015 22:22:01,901.1190689,2,1,1.000014305,3.634024382,0.250275904,0,0.897324285,0,0.000129509,0,0.250275904,0,,,0.250275904,,12.47298657
92,8111.15074,11-06-2015 22:22:11,911.1346273,2,1,0.999833703,3.635157585,0.253057633,0,0.90743446,0,0.000129509,0,0.253057633,0,,,0.253057633,,12.61205716
93,8121.165972,11-06-2015 22:22:21,921.1498595,2,1,0.999833703,3.636128902,0.255835001,0,0.917532098,0,9.71E-05,0,0.255835001,0,,,0.255835001,,12.75090974
94,8131.181883,11-06-2015 22:22:31,931.1657699,2,1,0.999833703,3.637585878,0.258621042,0,0.927664655,0,0.000129509,0,0.258621042,0,,,0.258621042,,12.89019591
95,8141.197419,11-06-2015 22:22:41,941.1813068,2,1,0.999833703,3.638557196,0.261402757,0,0.937784759,0,9.71E-05,0,0.261402757,0,,,0.261402757,,13.02926581
96,8151.212788,11-06-2015 22:22:51,951.196675,2,1,0.999833703,3.639690399,0.264184442,0,0.947908034,0,6.48E-05,0,0.264184442,0,,,0.264184442,,13.16833421
97,8161.212939,11-06-2015 22:23:01,961.1968261,2,1,0.999833703,3.640985489,0.266961822,0,0.958018852,0,0.000129509,0,0.266961822,0,,,0.266961822,,13.30718738
98,8171.228137,11-06-2015 22:23:11,971.2120238,2,1,0.999833703,3.642118692,0.269739134,0,0.968132567,0,9.71E-05,0,0.269739134,0,,,0.269739134,,13.44603715
99,8181.228269,11-06-2015 22:23:21,981.212156,2,1,0.999833703,3.643251896,0.27251648,0,0.978249596,0,9.71E-05,0,0.27251648,0,,,0.27251648,,13.58488863
100,8191.243979,11-06-2015 22:23:31,991.2278663,2,1,0.999833703,3.644546986,0.27530261,0,0.98840168,0,0.000161886,0,0.27530261,0,,,0.27530261,,13.72417925
101,8201.259498,11-06-2015 22:23:41,1001.243385,2,1,1.000014305,3.645518303,0.278084346,0,0.998540885,0,0.000129509,0,0.278084346,0,,,0.278084346,,13.8632502
102,8211.275087,11-06-2015 22:23:51,1011.258975,2,1,0.999653101,3.646327734,0.280866107,0,1.008683105,0,3.24E-05,0,0.280866107,0,,,0.280866107,,14.0023224
103,8221.290627,11-06-2015 22:24:01,1021.274514,2,1,0.999833703,3.64778471,0.283647803,0,1.018828206,0,0.000129509,0,0.283647803,0,,,0.283647803,,14.14139134
104,8231.306193,11-06-2015 22:24:12,1031.29008,2,1,0.999833703,3.648756027,0.286429536,0,1.028976664,0,6.48E-05,0,0.286429536,0,,,0.286429536,,14.28046214
105,8241.321669,11-06-2015 22:24:22,1041.305556,2,1,0.999833703,3.649889231,0.28921123,0,1.039128041,0,6.48E-05,0,0.28921123,0,,,0.28921123,,14.41953099
106,8251.321809,11-06-2015 22:24:32,1051.305696,2,1,1.000014305,3.651022434,0.291988638,0,1.049266925,0,9.71E-05,0,0.291988638,0,,,0.291988638,,14.55838556
107,8261.337247,11-06-2015 22:24:42,1061.321134,2,1,0.999653101,3.652155638,0.29477027,0,1.05942427,0,0.000129509,0,0.29477027,0,,,0.29477027,,14.69745131
108,8271.352811,11-06-2015 22:24:52,1071.336698,2,1,0.999653101,3.653288841,0.29755195,0,1.069584982,0,0.000129509,0,0.29755195,0,,,0.29755195,,14.83651946
109,8281.368351,11-06-2015 22:25:02,1081.352238,2,1,0.999833703,3.654422045,0.300333654,0,1.079748937,0,9.71E-05,0,0.300333654,0,,,0.300333654,,14.97558881
110,8291.383901,11-06-2015 22:25:12,1091.367788,2,1,0.999833703,3.655717134,0.303115355,0,1.0899161,0,0.000129509,0,0.303115355,0,,,0.303115355,,15.11465801
111,8301.399514,11-06-2015 22:25:22,1101.383401,2,1,0.999833703,3.656688452,0.305897095,0,1.10008658,0,9.71E-05,0,0.305897095,0,,,0.305897095,,15.25372915
112,8311.415016,11-06-2015 22:25:32,1111.398903,2,1,0.999833703,3.657983541,0.308678777,0,1.110260005,0,9.71E-05,0,0.308678777,0,,,0.308678777,,15.3927974
113,8321.430599,11-06-2015 22:25:42,1121.414486,2,1,0.999833703,3.659116745,0.311460518,0,1.120436936,0,0.000161886,0,0.311460518,0,,,0.311460518,,15.5318686
114,8331.446164,11-06-2015 22:25:52,1131.430051,2,1,1.000194907,3.660411835,0.314242196,0,1.130616857,0,0.000161886,0,0.314242196,0,,,0.314242196,,15.67093665
115,8341.461692,11-06-2015 22:26:02,1141.445579,2,1,0.999653101,3.661221266,0.31702388,0,1.140800091,0,6.48E-05,0,0.31702388,0,,,0.31702388,,15.810005
116,8351.477267,11-06-2015 22:26:12,1151.461154,2,1,0.999833703,3.662678242,0.319805552,0,1.150986471,0,0.000129509,0,0.319805552,0,,,0.319805552,,15.94907274
117,8361.492817,11-06-2015 22:26:22,1161.476704,2,1,0.999833703,3.663649559,0.322587238,0,1.161176168,0,6.48E-05,0,0.322587238,0,,,0.322587238,,16.08814119
118,8371.508392,11-06-2015 22:26:32,1171.492279,2,1,0.999833703,3.664782763,0.325368931,0,1.171369087,0,9.71E-05,0,0.325368931,0,,,0.325368931,,16.22720999
119,8381.523933,11-06-2015 22:26:42,1181.507821,2,1,0.999833703,3.666077852,0.32815061,0,1.181565133,0,0.000129509,0,0.32815061,0,,,0.32815061,,16.36627809
120,8391.539497,11-06-2015 22:26:52,1191.523385,2,1,0.999833703,3.667211056,0.330932326,0,1.191764415,0,0.000161886,0,0.330932326,0,,,0.330932326,,16.50534804
121,8401.555052,11-06-2015 22:27:02,1201.538939,2,1,0.999653101,3.668182373,0.333714003,0,1.201966485,0,0.000129509,0,0.333714003,0,,,0.333714003,,16.64441604
122,8411.570605,11-06-2015 22:27:12,1211.554493,2,1,0.999833703,3.66915369,0.336495714,0,1.212171724,0,9.71E-05,0,0.336495714,0,,,0.336495714,,16.78348573
123,8421.586221,11-06-2015 22:27:22,1221.570108,2,1,1.000014305,3.670286894,0.339277413,0,1.222379727,0,9.71E-05,0,0.339277413,0,,,0.339277413,,16.92255483
124,8431.601322,11-06-2015 22:27:32,1231.58521,2,1,1.000014305,3.671258211,0.342054748,0,1.232574549,0,9.71E-05,0,0.342054748,0,,,0.342054748,,17.06140576
125,8441.601564,11-06-2015 22:27:42,1241.585451,2,1,0.999833703,3.672229528,0.344836415,0,1.242787956,0,9.71E-05,0,0.344836415,0,,,0.344836415,,17.20047325
126,8451.601654,11-06-2015 22:27:52,1251.585541,2,1,0.999833703,3.673038721,0.347613763,0,1.252988019,0,6.48E-05,0,0.347613763,0,,,0.347613763,,17.33932483
127,8461.616871,11-06-2015 22:28:02,1261.600758,2,1,1.000014305,3.674010038,0.350391087,0,1.263190505,0,9.71E-05,0,0.350391087,0,,,0.350391087,,17.4781752
128,8471.617087,11-06-2015 22:28:12,1271.600974,2,1,0.999833703,3.674819469,0.353172757,0,1.273411328,0,6.48E-05,0,0.353172757,0,,,0.353172757,,17.61724285
129,8481.632636,11-06-2015 22:28:22,1281.616523,2,1,0.999653101,3.675628901,0.355954448,0,1.283634487,0,9.71E-05,0,0.355954448,0,,,0.355954448,,17.75631155
130,8491.648211,11-06-2015 22:28:32,1291.632098,2,1,0.999833703,3.676438332,0.35873612,0,1.293859829,0,6.48E-05,0,0.35873612,0,,,0.35873612,,17.8953793
131,8501.663489,11-06-2015 22:28:42,1301.647376,2,1,0.999833703,3.677085876,0.361513452,0,1.304071327,0,3.24E-05,0,0.361513452,0,,,0.361513452,,18.03423007
132,8511.663514,11-06-2015 22:28:52,1311.647401,2,1,0.999653101,3.677571535,0.364290749,0,1.314284539,0,3.24E-05,0,0.364290749,0,,,0.364290749,,18.17307909
133,8521.663753,11-06-2015 22:29:02,1321.64764,2,1,0.999653101,3.678380966,0.367072501,0,1.324516169,0,3.24E-05,0,0.367072501,0,,,0.367072501,,18.31215084
134,8531.679036,11-06-2015 22:29:12,1331.662923,2,1,1.000014305,3.679190397,0.369854138,0,1.334749193,0,6.48E-05,0,0.369854138,0,,,0.369854138,,18.45121684
135,8541.694777,11-06-2015 22:29:22,1341.678664,2,1,0.999833703,3.679837942,0.372635895,0,1.344984456,0,6.48E-05,0,0.372635895,0,,,0.372635895,,18.59028884
136,8551.710318,11-06-2015 22:29:32,1351.694206,2,1,0.999653101,3.680161715,0.375417573,0,1.355221054,0,0,0,0.375417573,0,,,0.375417573,,18.72935688
137,8561.725866,11-06-2015 22:29:42,1361.709753,2,1,0.999833703,3.680809259,0.378199262,0,1.365459411,0,6.48E-05,0,0.378199262,0,,,0.378199262,,18.86842548
138,8571.741422,11-06-2015 22:29:52,1371.72531,2,1,0.999653101,3.681294918,0.380980957,0,1.375699333,0,3.24E-05,0,0.380980957,0,,,0.380980957,,19.00749438
139,8581.756988,11-06-2015 22:30:02,1381.740875,2,1,0.999833703,3.681780577,0.38376263,0,1.385940717,0,0,0,0.38376263,0,,,0.38376263,,19.14656218
140,8591.757205,11-06-2015 22:30:12,1391.741093,2,1,0.999833703,3.682428122,0.386540049,0,1.396167888,0,3.24E-05,0,0.386540049,0,,,0.386540049,,19.2854173
141,8601.772275,11-06-2015 22:30:22,1401.756162,2,1,1.000014305,3.683075666,0.389321593,0,1.406411565,0,9.71E-05,0,0.389321593,0,,,0.389321593,,19.42447865
142,8611.772409,11-06-2015 22:30:32,1411.756296,2,1,0.999653101,3.683399439,0.392098987,0,1.416641405,0,3.24E-05,0,0.392098987,0,,,0.392098987,,19.56333252
143,8621.787986,11-06-2015 22:30:42,1421.771873,2,1,0.999833703,3.683885098,0.394880675,0,1.426888334,0,3.24E-05,0,0.394880675,0,,,0.394880675,,19.70240107
144,8631.80353,11-06-2015 22:30:52,1431.787417,2,1,0.999653101,3.68420887,0.39766213,0,1.437135602,0,0,0,0.39766213,0,,,0.39766213,,19.84145797
145,8641.819138,11-06-2015 22:31:02,1441.803026,2,1,0.999653101,3.684856415,0.40044358,0,1.447384138,0,6.48E-05,0,0.40044358,0,,,0.40044358,,19.98051462
146,8651.834134,11-06-2015 22:31:12,1451.818021,2,1,1.000014305,3.685342073,0.40319463,0,1.45752181,0,3.24E-05,0,0.40319463,0,,,0.40319463,,20.11805144
147,8661.834487,11-06-2015 22:31:22,1461.818374,2,1,0.999833703,3.685665846,0.406002087,0,1.467868536,0,3.24E-05,0,0.406002087,0,,,0.406002087,,20.2584083
148,8671.83452,11-06-2015 22:31:32,1471.818407,2,1,0.999833703,3.686151505,0.40877923,0,1.478104763,0,3.24E-05,0,0.40877923,0,,,0.40877923,,20.39724962
149,8681.850097,11-06-2015 22:31:42,1481.833984,2,1,0.999833703,3.686475277,0.411560701,0,1.488358056,0,6.48E-05,0,0.411560701,0,,,0.411560701,,20.53630732
150,8691.865642,11-06-2015 22:31:52,1491.849529,2,1,0.999833703,3.686960936,0.414342163,0,1.498612465,0,6.48E-05,0,0.414342163,0,,,0.414342163,,20.67536457
151,8701.881209,11-06-2015 22:32:02,1501.865097,2,1,0.999653101,3.687284708,0.417123633,0,1.508868035,0,3.24E-05,0,0.417123633,0,,,0.417123633,,20.81442222
