Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,충전용량-방전용량,,soc
18,230.2477314,02-27-2016 18:18:57,170.2322291,2,1,0.999713123,3.66128087,0.047273984,0,0.17262597,0,6.48022E-05,0,0,0,0,,,,
19,240.2631787,02-27-2016 18:19:07,180.2476763,2,1,0.999713123,3.662252903,0.050055272,0,0.182810554,0,9.71794E-05,0,0,0,0,,,,
20,250.2632084,02-27-2016 18:19:17,190.2477061,2,1,0.999533176,3.663062811,0.052832307,0,0.192982151,0,3.23772E-05,0,0,0,0,,,,
21,260.2785362,02-27-2016 18:19:27,200.2630338,2,1,0.999713123,3.66419673,0.055613545,0,0.203171828,0,6.48022E-05,0,0,0,0,,,,
22,270.2941463,02-27-2016 18:19:37,210.2786441,2,1,0.999713123,3.665330648,0.058394891,0,0.213364654,0,0.000129604,0,0,0,0,,,,
23,280.3095142,02-27-2016 18:19:47,220.2940118,2,1,0.999533176,3.666302681,0.061176171,0,0.223560129,0,9.71794E-05,0,0,0,0,,,,
24,290.3250255,02-27-2016 18:19:57,230.3095231,2,1,0.999893069,3.6674366,0.063957477,0,0.23375863,0,0.000129604,0,0,0,0,,,,
25,300.3405372,02-27-2016 18:20:07,240.3250349,2,1,0.999893069,3.668570518,0.066738815,0,0.243960346,0,0.000129604,0,0,0,0,,,,
26,310.3560144,02-27-2016 18:20:17,250.3405121,2,1,0.999713123,3.669542551,0.069520125,0,0.254165044,0,9.72271E-05,0,0,0,0,,,,
27,320.3715848,02-27-2016 18:20:27,260.3560825,2,1,0.999893069,3.670838356,0.07230141,0,0.264372709,0,0.000129604,0,0,0,0,,,,
28,330.3870239,02-27-2016 18:20:37,270.3715215,2,1,0.999713123,3.671810389,0.075082673,0,0.274583552,0,9.71794E-05,0,0,0,0,,,,
29,340.4025278,02-27-2016 18:20:47,280.3870254,2,1,0.999713123,3.673106194,0.077863994,0,0.284797828,0,0.000129557,0,0,0,0,,,,
30,350.4025492,02-27-2016 18:20:57,290.3870472,2,1,0.999893069,3.674240351,0.080640973,0,0.29499943,0,9.72271E-05,0,0,0,0,,,,
31,360.4178708,02-27-2016 18:21:07,300.4023684,2,1,0.999713123,3.675374269,0.083422231,0,0.305219981,0,9.72271E-05,0,0,0,0,,,,
32,370.4333737,02-27-2016 18:21:17,310.4178713,2,1,0.999713123,3.676670074,0.086203514,0,0.315443917,0,0.000161982,0,0,0,0,,,,
33,380.4488748,02-27-2016 18:21:27,320.4333724,2,1,0.999893069,3.677803993,0.088984816,0,0.325671176,0,0.000129604,0,0,0,0,,,,
34,390.4643666,02-27-2016 18:21:37,330.4488643,2,1,0.999713123,3.678937912,0.09176608,0,0.335901609,0,9.71794E-05,0,0,0,0,,,,
35,400.4643934,02-27-2016 18:21:47,340.4488912,2,1,0.999893069,3.680071831,0.094543032,0,0.34611939,0,0.000129557,0,0,0,0,,,,
36,410.4797443,02-27-2016 18:21:57,350.4642419,2,1,0.999713123,3.681367874,0.097324219,0,0.356356012,0,0.000129604,0,0,0,0,,,,
37,420.4952221,02-27-2016 18:22:07,360.4797197,2,1,0.999713123,3.682339907,0.100101213,0,0.36658048,0,6.48022E-05,0,0,0,0,,,,
38,430.5107294,02-27-2016 18:22:17,370.495227,2,1,0.999893069,3.683797836,0.102886838,0,0.376839918,0,0.000162029,0,0,0,0,,,,
39,440.5262298,02-27-2016 18:22:27,380.5107275,2,1,0.999893069,3.684931755,0.105668152,0,0.387086766,0,0.000161982,0,0,0,0,,,,
40,450.542,02-27-2016 18:22:37,390.5264978,2,1,0.999533176,3.685903549,0.108449553,0,0.397337126,0,0.000129557,0,0,0,0,,,,
41,460.5572106,02-27-2016 18:22:47,400.5417082,2,1,0.999713123,3.687037468,0.111230771,0,0.40759004,0,9.71794E-05,0,0,0,0,,,,
42,470.5727139,02-27-2016 18:22:57,410.5572115,2,1,0.999713123,3.688171625,0.114012108,0,0.417846583,0,9.72271E-05,0,0,0,0,,,,
43,480.5883083,02-27-2016 18:23:07,420.572806,2,1,0.999713123,3.68946743,0.116793439,0,0.428106359,0,9.71794E-05,0,0,0,0,,,,
44,490.6037304,02-27-2016 18:23:17,430.5882281,2,1,0.999713123,3.690601349,0.119570387,0,0.438353107,0,0.000129604,0,0,0,0,,,,
45,500.6192462,02-27-2016 18:23:27,440.6037439,2,1,0.999713123,3.691897392,0.122356033,0,0.448635215,0,0.000161982,0,0,0,0,,,,
46,510.6347085,02-27-2016 18:23:37,450.6192062,2,1,0.999893069,3.6927073,0.125137336,0,0.458904481,0,6.48022E-05,0,0,0,0,,,,
47,520.6504082,02-27-2016 18:23:47,460.6349061,2,1,0.999713123,3.694003105,0.127918677,0,0.469177083,0,6.47545E-05,0,0,0,0,,,,
48,530.665689,02-27-2016 18:23:57,470.6501867,2,1,0.999893069,3.695137262,0.130699921,0,0.479452539,0,9.72271E-05,0,0,0,0,,,,
49,540.6812212,02-27-2016 18:24:07,480.6657188,2,1,0.999533176,3.696271181,0.133481244,0,0.489731411,0,9.72271E-05,0,0,0,0,,,,
50,550.6813496,02-27-2016 18:24:17,490.6658474,2,1,0.999533176,3.697242975,0.136258275,0,0.49999756,0,6.48022E-05,0,0,0,0,,,,
51,560.6965594,02-27-2016 18:24:27,500.681057,2,1,0.999893069,3.698539019,0.139035187,0,0.51026638,0,0.000129604,0,0,0,0,,,,
52,570.7120436,02-27-2016 18:24:37,510.6965412,2,1,0.999533176,3.699510813,0.141820803,0,0.520570546,0,6.47545E-05,0,0,0,0,,,,
53,580.7275758,02-27-2016 18:24:47,520.7120735,2,1,0.999713123,3.700482845,0.144602121,0,0.530861874,0,6.48022E-05,0,0,0,0,,,,
54,590.7430778,02-27-2016 18:24:57,530.7275754,2,1,0.999713123,3.701778889,0.147383347,0,0.541155847,0,9.72271E-05,0,0,0,0,,,,
55,600.7585425,02-27-2016 18:25:07,540.7430401,2,1,0.999893069,3.702912807,0.150164573,0,0.551452873,0,0.000129604,0,0,0,0,,,,
56,610.7742342,02-27-2016 18:25:17,550.7587319,2,1,0.999533176,3.703884602,0.152945898,0,0.561753217,0,6.47545E-05,0,0,0,0,,,,
57,620.7895568,02-27-2016 18:25:27,560.7740545,2,1,0.999713123,3.705018759,0.155727132,0,0.572056201,0,9.72271E-05,0,0,0,0,,,,
58,630.8050665,02-27-2016 18:25:37,570.7895641,2,1,0.999713123,3.705828667,0.158508423,0,0.582362279,0,3.24249E-05,0,0,0,0,,,,
59,640.8205146,02-27-2016 18:25:47,580.8050123,2,1,0.999713123,3.707124472,0.161289702,0,0.592671236,0,0.000129557,0,0,0,0,,,,
60,650.820553,02-27-2016 18:25:57,590.8050508,2,1,0.999533176,3.708096504,0.164062319,0,0.602950942,0,9.71794E-05,0,0,0,0,,,,
61,660.8359213,02-27-2016 18:26:07,600.820419,2,1,0.999533176,3.709068537,0.166847931,0,0.613281707,0,9.72271E-05,0,0,0,0,,,,
62,670.8513872,02-27-2016 18:26:17,610.8358849,2,1,0.999713123,3.710202456,0.169629185,0,0.623599189,0,0.000129205,0,0,0,0,,,,
63,680.8669349,02-27-2016 18:26:27,620.8514326,2,1,0.999713123,3.711012363,0.172410457,0,0.633919509,0,6.48022E-05,0,0,0,0,,,,
64,690.8823831,02-27-2016 18:26:37,630.8668808,2,1,0.999533176,3.712146282,0.17519174,0,0.644242691,0,9.71794E-05,0,0,0,0,,,,
65,700.8979009,02-27-2016 18:26:47,640.8823985,2,1,0.999533176,3.713280201,0.177973069,0,0.654568964,0,0.000129604,0,0,0,0,,,,
66,710.9133907,02-27-2016 18:26:57,650.8978884,2,1,0.999893069,3.71441412,0.18075441,0,0.664898124,0,0.000129604,0,0,0,0,,,,
67,720.9288977,02-27-2016 18:27:07,660.9133954,2,1,0.999893069,3.715386152,0.183535699,0,0.675229945,0,0.000129604,0,0,0,0,,,,
68,730.9443697,02-27-2016 18:27:17,670.9288674,2,1,0.999533176,3.71619606,0.186316991,0,0.685564614,0,6.48022E-05,0,0,0,0,,,,
69,740.9599252,02-27-2016 18:27:27,680.9444229,2,1,0.999713123,3.717329979,0.189098317,0,0.695902253,0,9.71794E-05,0,0,0,0,,,,
70,750.9599611,02-27-2016 18:27:37,690.9444588,2,1,0.999713123,3.718463898,0.191875328,0,0.706226695,0,0.000129604,0,0,0,0,,,,
71,760.975238,02-27-2016 18:27:48,700.9597357,2,1,0.999533176,3.71943593,0.194656562,0,0.716569641,0,9.71794E-05,0,0,0,0,,,,
72,770.9908118,02-27-2016 18:27:58,710.9753095,2,1,0.999713123,3.720407963,0.197437872,0,0.726915699,0,0.000129604,0,0,0,0,,,,
73,781.0062317,02-27-2016 18:28:08,720.9907293,2,1,0.999713123,3.721379757,0.200219195,0,0.737264625,0,6.48022E-05,0,0,0,0,,,,
74,791.0218936,02-27-2016 18:28:18,731.0063914,2,1,0.999713123,3.722513676,0.203000501,0,0.747616126,0,0.000129604,0,0,0,0,,,,
75,801.0372233,02-27-2016 18:28:28,741.0217209,2,1,0.999533176,3.723323584,0.20578175,0,0.757970197,0,9.71794E-05,0,0,0,0,,,,
76,811.0527704,02-27-2016 18:28:38,751.0372681,2,1,0.999893069,3.724295616,0.208563089,0,0.768327277,0,0.000129604,0,0,0,0,,,,
77,821.0682125,02-27-2016 18:28:48,761.0527102,2,1,0.999713123,3.725267649,0.211344427,0,0.778687038,0,0.000129604,0,0,0,0,,,,
78,831.0837549,02-27-2016 18:28:58,771.0682526,2,1,0.999713123,3.726077557,0.214125802,0,0.789049556,0,6.48022E-05,0,0,0,0,,,,
79,841.0991962,02-27-2016 18:29:08,781.0836939,2,1,0.999713123,3.727049589,0.21690714,0,0.799414393,0,6.48022E-05,0,0,0,0,,,,
80,851.0992252,02-27-2016 18:29:18,791.083723,2,1,0.999713123,3.728021383,0.219684165,0,0.80976565,0,9.71794E-05,0,0,0,0,,,,
81,861.1147238,02-27-2016 18:29:28,801.0992218,2,1,0.999713123,3.728669405,0.222465502,0,0.820135372,0,6.48022E-05,0,0,0,0,,,,
82,871.1300799,02-27-2016 18:29:38,811.1145775,2,1,0.999713123,3.729479313,0.225242458,0,0.830490999,0,9.71794E-05,0,0,0,0,,,,
83,881.1454991,02-27-2016 18:29:48,821.1299968,2,1,0.999713123,3.730289221,0.227980298,0,0.84070291,0,9.71794E-05,0,0,0,0,,,,
84,891.145538,02-27-2016 18:29:58,831.1300358,2,1,0.999713123,3.731099367,0.230805064,0,0.851241218,0,6.48022E-05,0,0,0,0,,,,
85,901.1609586,02-27-2016 18:30:08,841.1454563,2,1,0.999893069,3.731585264,0.233582018,0,0.861603137,0,0,0,0,0,0,,,,
86,911.1763938,02-27-2016 18:30:18,851.1608912,2,1,0.999533176,3.732071161,0.236367602,0,0.871998759,0,3.23772E-05,0,0,0,0,,,,
87,921.1919173,02-27-2016 18:30:28,861.176415,2,1,0.999893069,3.733043194,0.239148899,0,0.882380448,0,6.48022E-05,0,0,0,0,,,,
88,931.2074442,02-27-2016 18:30:38,871.1919418,2,1,0.999713123,3.733691216,0.24193022,0,0.892763989,0,9.72271E-05,0,0,0,0,,,,
89,941.2228578,02-27-2016 18:30:48,881.2073551,2,1,0.999713123,3.734177113,0.244711501,0,0.903149057,0,3.23772E-05,0,0,0,0,,,,
90,951.2386167,02-27-2016 18:30:58,891.2231145,2,1,0.999713123,3.73466301,0.247492878,0,0.913535991,0,3.23772E-05,0,0,0,0,,,,
91,961.2539083,02-27-2016 18:31:08,901.238406,2,1,0.999713123,3.735311031,0.250269814,0,0.923907897,0,6.48022E-05,0,0,0,0,,,,
92,971.2693686,02-27-2016 18:31:18,911.2538659,2,1,0.999893069,3.735797167,0.253055443,0,0.934313644,0,3.24249E-05,0,0,0,0,,,,
93,981.2849048,02-27-2016 18:31:28,921.2694025,2,1,0.999893069,3.736120939,0.255836757,0,0.944704609,0,3.23772E-05,0,0,0,0,,,,
94,991.3004348,02-27-2016 18:31:38,931.2849325,2,1,0.999533176,3.736607075,0.258618102,0,0.955096983,0,3.24249E-05,0,0,0,0,,,,
95,1001.315843,02-27-2016 18:31:48,941.3003406,2,1,0.999713123,3.736931086,0.261399344,0,0.96549004,0,0,0,0,0,0,,,,
96,1011.331402,02-27-2016 18:31:58,951.3158996,2,1,0.999713123,3.737416983,0.264180659,0,0.97588453,0,0,0,0,0,0,,,,
97,1021.346866,02-27-2016 18:32:08,961.3313639,2,1,0.999713123,3.737740993,0.26696196,0,0.986280068,0,0,0,0,0,0,,,,
98,1031.362563,02-27-2016 18:32:18,971.34706,2,1,0.999713123,3.738226891,0.269743327,0,0.996676831,0,3.23772E-05,0,0,0,0,,,,
99,1041.37796,02-27-2016 18:32:28,981.3624579,2,1,0.999533176,3.738389015,0.272524643,0,1.007074385,0,0,0,0,0,0,,,,
100,1051.393364,02-27-2016 18:32:38,991.3778616,2,1,0.999713123,3.739036798,0.275301654,0,1.017456761,0,6.48022E-05,0,0,0,0,,,,
101,1061.393427,02-27-2016 18:32:48,1001.377924,2,1,0.999713123,3.739036798,0.278082973,0,1.027856119,0,0,0,0,0,0,,,,
102,1071.408717,02-27-2016 18:32:58,1011.393215,2,1,0.999533176,3.739522934,0.280864244,0,1.038256095,0,6.48022E-05,0,0,0,0,,,,
103,1081.424241,02-27-2016 18:33:08,1021.408739,2,1,0.999713123,3.739522934,0.283641239,0,1.048640776,0,-3.23769E-05,0,0,0,0,,,,
104,1091.424264,02-27-2016 18:33:18,1031.408762,2,1,0.999893069,3.740008831,0.286422548,0,1.059042361,0,3.23772E-05,0,0,0,0,,,,
105,1101.439587,02-27-2016 18:33:28,1041.424085,2,1,0.999713123,3.740170717,0.289199503,0,1.069428428,0,3.23772E-05,0,0,0,0,,,,
106,1111.455114,02-27-2016 18:33:38,1051.439611,2,1,0.999713123,3.740494728,0.29198515,0,1.079847706,0,3.23772E-05,0,0,0,0,,,,
107,1121.470627,02-27-2016 18:33:48,1061.455125,2,1,0.999893069,3.740818739,0.294766454,0,1.090251416,0,6.48022E-05,0,0,0,0,,,,
108,1131.486094,02-27-2016 18:33:58,1071.470592,2,1,0.999713123,3.740818739,0.297547792,0,1.100655865,0,0,0,0,0,0,,,,
109,1141.50158,02-27-2016 18:34:08,1081.486078,2,1,0.999893069,3.74114275,0.30032908,0,1.111060752,0,3.23772E-05,0,0,0,0,,,,
110,1151.517423,02-27-2016 18:34:18,1091.501921,2,1,0.999713123,3.741466761,0.303110456,0,1.121466551,0,3.23772E-05,0,0,0,0,,,,
111,1161.53256,02-27-2016 18:34:28,1101.517058,2,1,0.999533176,3.741466761,0.305891664,0,1.13187235,0,0,0,0,0,0,,,,
112,1171.548102,02-27-2016 18:34:38,1111.532599,2,1,0.999713123,3.741628647,0.308672995,0,1.142279217,0,0,0,0,0,0,,,,
113,1181.56356,02-27-2016 18:34:48,1121.548058,2,1,0.999713123,3.742114782,0.311454277,0,1.152686403,0,3.24249E-05,0,0,0,0,,,,
114,1191.579062,02-27-2016 18:34:58,1131.56356,2,1,1.000073075,3.742114782,0.31423556,0,1.163093964,0,3.24249E-05,0,0,0,0,,,,
115,1201.594537,02-27-2016 18:35:08,1141.579034,2,1,0.999533176,3.742114782,0.317016823,0,1.173501965,0,0,0,0,0,0,,,,
116,1211.610118,02-27-2016 18:35:18,1151.594616,2,1,0.999533176,3.742438793,0.319798053,0,1.183910455,0,3.24249E-05,0,0,0,0,,,,
117,1221.625595,02-27-2016 18:35:28,1161.610093,2,1,0.999713123,3.742762804,0.322579291,0,1.194319598,0,3.24249E-05,0,0,0,0,,,,
118,1231.641069,02-27-2016 18:35:38,1171.625567,2,1,0.999893069,3.74292469,0.325360528,0,1.204729294,0,0,0,0,0,0,,,,
119,1241.656522,02-27-2016 18:35:48,1181.641019,2,1,0.999713123,3.743086576,0.32813746,0,1.215123395,0,0,0,0,0,0,,,,
120,1251.656571,02-27-2016 18:35:58,1191.641069,2,1,1.000073075,3.743410587,0.330918764,0,1.225534349,0,3.23772E-05,0,0,0,0,,,,
121,1261.672123,02-27-2016 18:36:08,1201.656621,2,1,0.999893069,3.743410587,0.33370007,0,1.235945852,0,0,0,0,0,0,,,,
122,1271.687384,02-27-2016 18:36:18,1211.671882,2,1,0.999713123,3.743734598,0.336481305,0,1.246357622,0,0,0,0,0,0,,,,
123,1281.702902,02-27-2016 18:36:28,1221.6874,2,1,0.999533176,3.743896723,0.339262605,0,1.256770172,0,0,0,0,0,0,,,,
124,1291.718439,02-27-2016 18:36:38,1231.702937,2,1,0.999713123,3.744058609,0.342043936,0,1.267183357,0,3.23772E-05,0,0,0,0,,,,
125,1301.733884,02-27-2016 18:36:48,1241.718381,2,1,0.999893069,3.74438262,0.344825167,0,1.277596711,0,6.48022E-05,0,0,0,0,,,,
126,1311.749375,02-27-2016 18:36:58,1251.733873,2,1,0.999713123,3.744544506,0.347606461,0,1.288010846,0,3.23772E-05,0,0,0,0,,,,
127,1321.764889,02-27-2016 18:37:08,1261.749387,2,1,0.999893069,3.744706631,0.350387762,0,1.298425476,0,6.48022E-05,0,0,0,0,,,,
128,1331.780357,02-27-2016 18:37:18,1271.764855,2,1,0.999713123,3.744706631,0.353169034,0,1.308840448,0,0,0,0,0,0,,,,
129,1341.7959,02-27-2016 18:37:28,1281.780397,2,1,0.999713123,3.745030642,0.355950381,0,1.31925629,0,3.24249E-05,0,0,0,0,,,,
130,1351.795919,02-27-2016 18:37:38,1291.780416,2,1,0.999713123,3.745030642,0.358727367,0,1.329656363,0,0,0,0,0,0,,,,
131,1361.811217,02-27-2016 18:37:48,1301.795715,2,1,0.999893069,3.745516539,0.361508615,0,1.34007298,0,6.48022E-05,0,0,0,0,,,,
132,1371.82672,02-27-2016 18:37:58,1311.811218,2,1,0.999893069,3.745516539,0.364289931,0,1.350490383,0,3.23772E-05,0,0,0,0,,,,
133,1381.842238,02-27-2016 18:38:08,1321.826735,2,1,0.999533176,3.745678425,0.367071255,0,1.36090836,0,0,0,0,0,0,,,,
134,1391.857715,02-27-2016 18:38:18,1331.842213,2,1,0.999893069,3.74616456,0.369852537,0,1.371326691,0,6.48022E-05,0,0,0,0,,,,
135,1401.873256,02-27-2016 18:38:28,1341.857753,2,1,0.999533176,3.74616456,0.37263389,0,1.381745908,0,0,0,0,0,0,,,,
136,1411.888704,02-27-2016 18:38:38,1351.873202,2,1,0.999533176,3.746326447,0.375415192,0,1.392165493,0,0,0,0,0,0,,,,
137,1421.904218,02-27-2016 18:38:48,1361.888715,2,1,0.999713123,3.746650457,0.378196499,0,1.402585679,0,3.23772E-05,0,0,0,0,,,,
138,1431.919703,02-27-2016 18:38:58,1371.9042,2,1,0.999713123,3.746812582,0.380977805,0,1.413006426,0,3.24249E-05,0,0,0,0,,,,
139,1441.935187,02-27-2016 18:39:08,1381.919685,2,1,0.999533176,3.746974468,0.383759141,0,1.423427886,0,0,0,0,0,0,,,,
140,1451.935225,02-27-2016 18:39:18,1391.919723,2,1,0.999713123,3.747136354,0.386536178,0,1.433833731,0,3.23772E-05,0,0,0,0,,,,
141,1461.950551,02-27-2016 18:39:28,1401.935049,2,1,0.999893069,3.74762249,0.389317463,0,1.444256037,0,6.48022E-05,0,0,0,0,,,,
142,1471.966082,02-27-2016 18:39:39,1411.950579,2,1,0.999713123,3.74762249,0.3920988,0,1.454679192,0,0,0,0,0,0,,,,
143,1481.981564,02-27-2016 18:39:49,1421.966061,2,1,0.999713123,3.747946501,0.394880128,0,1.465102985,0,0,0,0,0,0,,,,
144,1491.997074,02-27-2016 18:39:59,1431.981571,2,1,0.999713123,3.747946501,0.397661461,0,1.475527431,0,-3.23772E-05,0,0,0,0,,,,
145,1502.012561,02-27-2016 18:40:09,1441.997058,2,1,0.999713123,3.748432398,0.400442778,0,1.485952436,0,3.23772E-05,0,0,0,0,,,,
146,1512.028038,02-27-2016 18:40:19,1452.012536,2,1,0.999893069,3.748594284,0.403224146,0,1.496378233,0,3.23772E-05,0,0,0,0,,,,
147,1522.043543,02-27-2016 18:40:29,1462.02804,2,1,0.999893069,3.748918295,0.406005457,0,1.506804459,0,3.23772E-05,0,0,0,0,,,,
148,1532.059031,02-27-2016 18:40:39,1472.043528,2,1,0.999713123,3.74908042,0.408786798,0,1.517231487,0,3.24249E-05,0,0,0,0,,,,
149,1542.074578,02-27-2016 18:40:49,1482.059076,2,1,0.999533176,3.74908042,0.411568136,0,1.527659128,0,0,0,0,0,0,,,,
150,1552.09002,02-27-2016 18:40:59,1492.074518,2,1,0.999713123,3.749566317,0.41434941,0,1.538087246,0,0,0,0,0,0,,,,
151,1562.105663,02-27-2016 18:41:09,1502.090161,2,1,0.999893069,3.749728441,0.417130776,0,1.548516319,0,0,0,0,0,0,,,,
152,1572.121043,02-27-2016 18:41:19,1512.105541,2,1,0.999713123,3.749890327,0.419907757,0,1.558929535,0,-3.23772E-05,0,0,0,0,,,,
153,1582.136591,02-27-2016 18:41:29,1522.121089,2,1,0.999713123,3.750376225,0.422693366,0,1.569375841,0,6.48022E-05,0,0,0,0,,,,
154,1592.152003,02-27-2016 18:41:39,1532.136501,2,1,0.999533176,3.750376225,0.425474647,0,1.579806636,0,0,0,0,0,0,,,,
155,1602.167493,02-27-2016 18:41:49,1542.15199,2,1,0.999533176,3.750538349,0.428255945,0,1.590238203,0,-3.23772E-05,0,0,0,0,,,,
156,1612.182987,02-27-2016 18:41:59,1552.167485,2,1,0.999713123,3.75086236,0.431037251,0,1.600670502,0,0,0,0,0,0,,,,
157,1622.198669,02-27-2016 18:42:09,1562.183167,2,1,0.999713123,3.751186371,0.433818644,0,1.611103836,0,0,0,0,0,0,,,,
158,1632.214091,02-27-2016 18:42:19,1572.198589,2,1,0.999893069,3.751510143,0.436599987,0,1.62153772,0,3.23772E-05,0,0,0,0,,,,
159,1642.22947,02-27-2016 18:42:29,1582.213967,2,1,0.999533176,3.751672268,0.439381285,0,1.631972165,0,0,0,0,0,0,,,,
160,1652.244992,02-27-2016 18:42:39,1592.22949,2,1,0.999713123,3.751996279,0.442162617,0,1.642407487,0,3.24249E-05,0,0,0,0,,,,
161,1662.260455,02-27-2016 18:42:49,1602.244953,2,1,0.999713123,3.75232029,0.444939586,0,1.652827155,0,3.24249E-05,0,0,0,0,,,,
162,1672.275959,02-27-2016 18:42:59,1612.260457,2,1,0.999713123,3.752644062,0.447725209,0,1.663279856,0,6.47545E-05,0,0,0,0,,,,
163,1682.291468,02-27-2016 18:43:09,1622.275965,2,1,0.999713123,3.752806187,0.450506534,0,1.673717184,0,6.48022E-05,0,0,0,0,,,,
164,1692.306951,02-27-2016 18:43:19,1632.291449,2,1,0.999713123,3.753130198,0.45328786,0,1.684155429,0,3.24249E-05,0,0,0,0,,,,
165,1702.322482,02-27-2016 18:43:29,1642.30698,2,1,0.999893069,3.753454208,0.456069153,0,1.694594356,0,0,0,0,0,0,,,,
166,1712.337956,02-27-2016 18:43:39,1652.322454,2,1,0.999713123,3.753778219,0.458850479,0,1.705034171,0,3.24249E-05,0,0,0,0,,,,
167,1722.338,02-27-2016 18:43:49,1662.322498,2,1,0.999713123,3.753940105,0.461627556,0,1.715458846,0,0,0,0,0,0,,,,
168,1732.353445,02-27-2016 18:43:59,1672.337942,2,1,0.999533176,3.754101992,0.464408865,0,1.72590022,0,0,0,0,0,0,,,,
169,1742.368826,02-27-2016 18:44:09,1682.353323,2,1,0.999533176,3.754588127,0.467190136,0,1.736342333,0,6.48022E-05,0,0,0,0,,,,
170,1752.384337,02-27-2016 18:44:19,1692.368834,2,1,0.999713123,3.754750013,0.46997144,0,1.746785349,0,3.23772E-05,0,0,0,0,,,,
171,1762.399848,02-27-2016 18:44:29,1702.384346,2,1,0.999713123,3.755074024,0.472752783,0,1.757229287,0,3.23772E-05,0,0,0,0,,,,
172,1772.415303,02-27-2016 18:44:39,1712.3998,2,1,0.999893069,3.755398035,0.47553409,0,1.767673916,0,3.23772E-05,0,0,0,0,,,,
173,1782.430797,02-27-2016 18:44:49,1722.415295,2,1,0.999713123,3.755883932,0.478315422,0,1.778119539,0,3.23772E-05,0,0,0,0,,,,
174,1792.446194,02-27-2016 18:44:59,1732.430691,2,1,0.999533176,3.756046057,0.48101864,0,1.788272637,0,3.24249E-05,0,0,0,0,,,,
175,1802.446253,02-27-2016 18:45:09,1742.430751,2,1,0.999533176,3.756370068,0.483873714,0,1.798996978,0,0,0,0,0,0,,,,
176,1812.461694,02-27-2016 18:45:19,1752.446191,2,1,0.999533176,3.756694078,0.486655044,0,1.809445223,0,3.24249E-05,0,0,0,0,,,,
