Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),SoC(%),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,,C-dC,,SoC
23,280.3421346,11-11-2015 14:27:12,220.3257435,2,1,0.999833703,3.573479176,0.061192768,0,0.218032304,0,6.48E-05,0,0.121192768,0,,,0.061192768,,5.478292897
24,290.3576458,11-11-2015 14:27:22,230.3412547,2,1,0.999833703,3.57412672,0.063970076,0,0.227957597,0,6.48E-05,0,0.123970076,0,,,0.063970076,,5.613074082
25,300.3582329,11-11-2015 14:27:32,240.3418418,2,1,1.000014305,3.574936152,0.066751922,0,0.237901169,0,9.71E-05,0,0.126751922,0,,,0.066751922,,5.748075494
26,310.373136,11-11-2015 14:27:42,250.3567449,2,1,0.999653101,3.57542181,0.069533405,0,0.247845429,0,6.48E-05,0,0.129533405,0,,,0.069533405,,5.883059289
27,320.3886279,11-11-2015 14:27:52,260.3722368,2,1,0.999833703,3.576393127,0.072315019,0,0.257792175,0,9.71E-05,0,0.132315019,0,,,0.072315019,,6.018049442
28,330.4040732,11-11-2015 14:28:02,270.387682,2,1,0.999833703,3.577040672,0.075096647,0,0.267740963,0,6.48E-05,0,0.135096647,0,,,0.075096647,,6.153040274
29,340.4194089,11-11-2015 14:28:12,280.4030177,2,1,1.000014305,3.577850103,0.077878191,0,0.277691486,0,9.71E-05,0,0.137878191,0,,,0.077878191,,6.28802703
30,350.4351668,11-11-2015 14:28:22,290.4187757,2,1,0.999833703,3.578497648,0.080659879,0,0.287644616,0,6.48E-05,0,0.140659879,0,,,0.080659879,,6.423020774
31,360.4500441,11-11-2015 14:28:32,300.4336531,2,1,0.999833703,3.579307079,0.083437183,0,0.297584032,0,9.71E-05,0,0.143437183,0,,,0.083437183,,6.557801764
32,370.450516,11-11-2015 14:28:42,310.4341249,2,1,0.999833703,3.579954624,0.08621878,0,0.307540924,0,6.48E-05,0,0.14621878,0,,,0.08621878,,6.692791092
33,380.4661138,11-11-2015 14:28:52,320.4497227,2,1,0.999833703,3.580602169,0.08900043,0,0.31750004,0,3.24E-05,0,0.14900043,0,,,0.08900043,,6.827782992
34,390.4809594,11-11-2015 14:29:02,330.4645682,2,1,0.999833703,3.581249714,0.091777727,0,0.327445635,0,0,0,0.151777727,0,,,0.091777727,,6.962563643
35,400.4814594,11-11-2015 14:29:12,340.4650683,2,1,0.999833703,3.582059145,0.094559327,0,0.337408625,0,9.71E-05,0,0.154559327,0,,,0.094559327,,7.097553116
36,410.4969641,11-11-2015 14:29:22,350.480573,2,1,1.000014305,3.582868576,0.097340969,0,0.347373936,0,3.24E-05,0,0.157340969,0,,,0.097340969,,7.232544628
37,420.5125498,11-11-2015 14:29:32,360.4961587,2,1,0.999833703,3.583839893,0.100122654,0,0.357341594,0,6.48E-05,0,0.160122654,0,,,0.100122654,,7.367538226
38,430.5279739,11-11-2015 14:29:42,370.5115827,2,1,0.999833703,3.584325552,0.102904252,0,0.367310879,0,6.48E-05,0,0.162904252,0,,,0.102904252,,7.502527602
39,440.5435398,11-11-2015 14:29:52,380.5271487,2,1,1.000014305,3.585134983,0.1056859,0,0.377282466,0,9.71E-05,0,0.1656859,0,,,0.1056859,,7.637519405
40,450.5436161,11-11-2015 14:30:02,390.5272249,2,1,0.999653101,3.585944414,0.108463271,0,0.387240845,0,9.71E-05,0,0.168463271,0,,,0.108463271,,7.772303648
41,460.5587001,11-11-2015 14:30:12,400.542309,2,1,0.999833703,3.586753845,0.111244795,0,0.397216249,0,6.48E-05,0,0.171244795,0,,,0.111244795,,7.907289433
42,470.558794,11-11-2015 14:30:22,410.5424028,2,1,1.000014305,3.58740139,0.114022166,0,0.407178888,0,3.24E-05,0,0.174022166,0,,,0.114022166,,8.042073675
43,480.574312,11-11-2015 14:30:32,420.5579208,2,1,0.999833703,3.588372707,0.116803801,0,0.41715899,0,9.71E-05,0,0.176803801,0,,,0.116803801,,8.177064847
44,490.5897791,11-11-2015 14:30:42,430.573388,2,1,0.999833703,3.589020252,0.119585379,0,0.427141103,0,6.46E-05,0,0.179585379,0,,,0.119585379,,8.312053252
45,500.6054058,11-11-2015 14:30:53,440.5890147,2,1,1.000014305,3.58999157,0.122367041,0,0.437125665,0,9.71E-05,0,0.182367041,0,,,0.122367041,,8.447045735
46,510.6208472,11-11-2015 14:31:03,450.604456,2,1,0.999833703,3.590639114,0.125148624,0,0.447112211,0,6.48E-05,0,0.185148624,0,,,0.125148624,,8.582034383
47,520.6363648,11-11-2015 14:31:13,460.6199737,2,1,0.999833703,3.591448545,0.127930236,0,0.457101147,0,6.48E-05,0,0.187930236,0,,,0.127930236,,8.717024438
48,530.6518593,11-11-2015 14:31:23,470.6354681,2,1,1.000194907,3.592581511,0.13071188,0,0.467092506,0,0.000129461,0,0.19071188,0,,,0.13071188,,8.852016047
49,540.6674064,11-11-2015 14:31:33,480.6510152,2,1,1.000014305,3.593229055,0.133493477,0,0.477086114,0,6.48E-05,0,0.193493477,0,,,0.133493477,,8.987005375
50,550.6823238,11-11-2015 14:31:43,490.6659329,2,1,0.999833703,3.594038486,0.136270787,0,0.487066715,0,6.48E-05,0,0.196270787,0,,,0.136270787,,9.121786657
51,560.6828832,11-11-2015 14:31:53,500.6664921,2,1,0.999833703,3.594847918,0.139052391,0,0.497065002,0,6.48E-05,0,0.199052391,0,,,0.139052391,,9.256776324
52,570.6983156,11-11-2015 14:32:03,510.6819245,2,1,0.999833703,3.595819235,0.141834021,0,0.507066008,0,6.48E-05,0,0.201834021,0,,,0.141834021,,9.391767253
53,580.7138187,11-11-2015 14:32:13,520.6974276,2,1,0.999833703,3.596628666,0.144615676,0,0.517069642,0,3.24E-05,0,0.204615676,0,,,0.144615676,,9.526759396
54,590.729349,11-11-2015 14:32:23,530.7129579,2,1,0.999833703,3.597761869,0.147397318,0,0.527075759,0,9.71E-05,0,0.207397318,0,,,0.147397318,,9.661750907
55,600.7448535,11-11-2015 14:32:33,540.7284623,2,1,0.999653101,3.598571301,0.150178999,0,0.537084686,0,9.71E-05,0,0.210178999,0,,,0.150178999,,9.796744312
56,610.7603615,11-11-2015 14:32:43,550.7439703,2,1,0.999833703,3.599542618,0.152960632,0,0.547096104,0,6.48E-05,0,0.212960632,0,,,0.152960632,,9.931735386
57,620.7751724,11-11-2015 14:32:53,560.7587812,2,1,0.999833703,3.600675821,0.155720562,0,0.557032103,0,0.000129509,0,0.215720562,0,,,0.155720562,,10.06567323
58,630.7756106,11-11-2015 14:33:03,570.7592195,2,1,0.999653101,3.601485252,0.158519484,0,0.567111296,0,9.71E-05,0,0.218519484,0,,,0.158519484,,10.20150333
59,640.7756786,11-11-2015 14:33:13,580.7592875,2,1,0.999833703,3.602618456,0.161296874,0,0.577115863,0,6.48E-05,0,0.221296874,0,,,0.161296874,,10.33628849
60,650.7912575,11-11-2015 14:33:23,590.7748663,2,1,1.000014305,3.603751659,0.164078542,0,0.58713878,0,9.71E-05,0,0.224078542,0,,,0.164078542,,10.47128126
61,660.8065674,11-11-2015 14:33:33,600.7901763,2,1,1.000014305,3.604722977,0.166860128,0,0.59716434,0,3.24E-05,0,0.226860128,0,,,0.166860128,,10.60627006
62,670.8066563,11-11-2015 14:33:43,610.7902652,2,1,0.999833703,3.60585618,0.169637491,0,0.607177662,0,9.71E-05,0,0.229637491,0,,,0.169637491,,10.74105391
63,680.8221107,11-11-2015 14:33:53,620.8057195,2,1,0.999833703,3.606989384,0.172419139,0,0.61720958,0,9.71E-05,0,0.232419139,0,,,0.172419139,,10.87604572
64,690.8376592,11-11-2015 14:34:03,630.821268,2,1,1.000014305,3.608284473,0.17520074,0,0.627244418,0,0.000161886,0,0.23520074,0,,,0.17520074,,11.01103524
65,700.8531243,11-11-2015 14:34:13,640.8367333,2,1,0.999653101,3.609417677,0.177978025,0,0.637266949,0,0.000129509,0,0.237978025,0,,,0.177978025,,11.14581531
66,710.8686892,11-11-2015 14:34:23,650.8522982,2,1,1.000014305,3.61055088,0.180763989,0,0.647324013,0,0.000161886,0,0.240763989,0,,,0.180763989,,11.28101656
67,720.8841986,11-11-2015 14:34:33,660.8678074,2,1,1.000014305,3.61184597,0.183545583,0,0.657368615,0,9.71E-05,0,0.243545583,0,,,0.183545583,,11.41600574
68,730.8996735,11-11-2015 14:34:43,670.8832823,2,1,0.999833703,3.612655401,0.186327164,0,0.66741643,0,6.48E-05,0,0.246327164,0,,,0.186327164,,11.5509943
69,740.9151765,11-11-2015 14:34:53,680.8987854,2,1,0.999653101,3.614112377,0.18910878,0,0.677467758,0,9.71E-05,0,0.24910878,0,,,0.18910878,,11.68598454
70,750.9307536,11-11-2015 14:35:03,690.9143625,2,1,1.000014305,3.615245581,0.191890437,0,0.687522595,0,9.71E-05,0,0.251890437,0,,,0.191890437,,11.82097678
71,760.9462328,11-11-2015 14:35:13,700.9298416,2,1,0.999833703,3.616378784,0.194672033,0,0.697580503,0,9.71E-05,0,0.254672033,0,,,0.194672033,,11.95596606
72,770.961779,11-11-2015 14:35:23,710.9453879,2,1,0.999653101,3.617673874,0.197453662,0,0.707641925,0,6.48E-05,0,0.257453662,0,,,0.197453662,,12.09095694
73,780.9768142,11-11-2015 14:35:33,720.9604229,2,1,0.999833703,3.618968964,0.200235127,0,0.717706185,0,9.71E-05,0,0.260235127,0,,,0.200235127,,12.22593987
74,790.9922645,11-11-2015 14:35:43,730.9758731,2,1,0.999653101,3.620102167,0.203016746,0,0.727774494,0,0.000129509,0,0.263016746,0,,,0.203016746,,12.36093026
75,801.0078594,11-11-2015 14:35:53,740.991468,2,1,0.999833703,3.621235371,0.205798364,0,0.737846153,0,6.48E-05,0,0.265798364,0,,,0.205798364,,12.49592061
76,811.0233445,11-11-2015 14:36:03,751.0069531,2,1,0.999833703,3.622692347,0.208579987,0,0.747921321,0,0.000129509,0,0.268579987,0,,,0.208579987,,12.6309112
77,821.0388934,11-11-2015 14:36:13,761.022502,2,1,0.999833703,3.62382555,0.211361638,0,0.758000044,0,9.71E-05,0,0.271361638,0,,,0.211361638,,12.76590315
78,831.0543572,11-11-2015 14:36:23,771.0379659,2,1,0.999833703,3.625282526,0.214143281,0,0.768082213,0,0.000129509,0,0.274143281,0,,,0.214143281,,12.90089471
79,841.0698118,11-11-2015 14:36:33,781.0534204,2,1,0.999833703,3.62641573,0.216924919,0,0.778167696,0,0.000129509,0,0.276924919,0,,,0.216924919,,13.03588602
80,851.0856407,11-11-2015 14:36:43,791.0692494,2,1,1.000014305,3.627872705,0.219706664,0,0.788257095,0,0.000161886,0,0.279706664,0,,,0.219706664,,13.17088253
81,861.1005838,11-11-2015 14:36:53,801.0841924,2,1,1.000014305,3.628844023,0.222483898,0,0.798333525,0,0.000129107,0,0.282483898,0,,,0.222483898,,13.30566013
82,871.1163429,11-11-2015 14:37:03,811.0999515,2,1,0.999653101,3.629977226,0.225269859,0,0.80844515,0,6.48E-05,0,0.285269859,0,,,0.225269859,,13.44086124
83,881.1168109,11-11-2015 14:37:13,821.1004198,2,1,0.999653101,3.631434202,0.228047268,0,0.818529182,0,0.000161886,0,0.288047268,0,,,0.228047268,,13.57564732
84,891.1322949,11-11-2015 14:37:23,831.1159037,2,1,0.999833703,3.632567406,0.230828889,0,0.828632029,0,9.71E-05,0,0.290828889,0,,,0.230828889,,13.71063782
85,901.1478009,11-11-2015 14:37:33,841.1314097,2,1,0.999833703,3.633862495,0.233610516,0,0.838738447,0,9.71E-05,0,0.293610516,0,,,0.233610516,,13.8456286
86,911.1633391,11-11-2015 14:37:43,851.146948,2,1,1.000014305,3.635157585,0.236392158,0,0.848848402,0,9.71E-05,0,0.296392158,0,,,0.236392158,,13.98062011
87,921.1788666,11-11-2015 14:37:53,861.1624754,2,1,1.000194907,3.636452675,0.239173825,0,0.858961885,0,0.000129509,0,0.299173825,0,,,0.239173825,,14.11561284
88,931.1943729,11-11-2015 14:38:03,871.1779817,2,1,0.999833703,3.637585878,0.241955485,0,0.869078807,0,9.71E-05,0,0.301955485,0,,,0.241955485,,14.25060522
89,941.1944591,11-11-2015 14:38:13,881.1780679,2,1,0.999833703,3.638719082,0.244732845,0,0.879183506,0,6.48E-05,0,0.304732845,0,,,0.244732845,,14.38538893
90,951.2093618,11-11-2015 14:38:23,891.1929707,2,1,0.999653101,3.640014172,0.247514315,0,0.889306529,0,9.68E-05,0,0.307514315,0,,,0.247514315,,14.52037209
91,961.2094552,11-11-2015 14:38:33,901.1930641,2,1,0.999833703,3.641309261,0.250291689,0,0.899418002,0,0.000129509,0,0.310291689,0,,,0.250291689,,14.65515648
92,971.2095473,11-11-2015 14:38:43,911.1931561,2,1,0.999833703,3.642442465,0.253069028,0,0.909532606,0,9.71E-05,0,0.313069028,0,,,0.253069028,,14.78993917
93,981.2245342,11-11-2015 14:38:53,921.2081429,2,1,0.999653101,3.643413782,0.255850543,0,0.919665687,0,3.24E-05,0,0.315850543,0,,,0.255850543,,14.92492452
94,991.2249437,11-11-2015 14:39:03,931.2085526,2,1,0.999833703,3.644708872,0.258628001,0,0.929787128,0,9.71E-05,0,0.318628001,0,,,0.258628001,,15.05971298
95,1001.240468,11-11-2015 14:39:13,941.2240766,2,1,0.999833703,3.645842075,0.26140969,0,0.939927178,0,9.71E-05,0,0.32140969,0,,,0.26140969,,15.19470678
96,1011.255959,11-11-2015 14:39:23,951.2395679,2,1,1.000014305,3.647137165,0.264191332,0,0.950069888,0,0.000161886,0,0.324191332,0,,,0.264191332,,15.32969829
97,1021.271105,11-11-2015 14:39:33,961.2547134,2,1,1.000014305,3.648108482,0.266972882,0,0.960215643,0,0.000129115,0,0.326972882,0,,,0.266972882,,15.46468534
98,1031.286674,11-11-2015 14:39:43,971.2702828,2,1,1.000014305,3.649403572,0.269754534,0,0.970364821,0,0.000160894,0,0.329754534,0,,,0.269754534,,15.59967733
99,1041.301948,11-11-2015 14:39:53,981.2855569,2,1,0.999653101,3.650374889,0.272531816,0,0.980501101,0,9.71E-05,0,0.332531816,0,,,0.272531816,,15.73445726
100,1051.317612,11-11-2015 14:40:03,991.3012206,2,1,1.000014305,3.651346207,0.275317755,0,0.990672036,0,0.000129108,0,0.335317755,0,,,0.275317755,,15.8696573
101,1061.332891,11-11-2015 14:40:13,1001.3165,2,1,0.999833703,3.652317524,0.278094988,0,1.000814093,0,9.65E-05,0,0.338094988,0,,,0.278094988,,16.00443484
102,1071.333485,11-11-2015 14:40:23,1011.317093,2,1,0.999833703,3.653288841,0.280876745,0,1.010975715,0,9.68E-05,0,0.340876745,0,,,0.280876745,,16.13943194
103,1081.348784,11-11-2015 14:40:33,1021.332393,2,1,0.999833703,3.654583931,0.283654046,0,1.021124074,0,0.000129509,0,0.343654046,0,,,0.283654046,,16.27421278
104,1091.364615,11-11-2015 14:40:43,1031.348224,2,1,0.999833703,3.655555248,0.286440071,0,1.03130741,0,3.24E-05,0,0.346440071,0,,,0.286440071,,16.409417
105,1101.379887,11-11-2015 14:40:53,1041.363496,2,1,1.000014305,3.656850338,0.289221622,0,1.04147742,0,9.71E-05,0,0.349221622,0,,,0.289221622,,16.54440409
106,1111.395502,11-11-2015 14:41:03,1051.379111,2,1,0.999833703,3.657983541,0.292003332,0,1.051651103,0,9.71E-05,0,0.352003332,0,,,0.292003332,,16.6793989
107,1121.411021,11-11-2015 14:41:13,1061.39463,2,1,1.000014305,3.659116745,0.294784969,0,1.061827634,0,9.71E-05,0,0.354784969,0,,,0.294784969,,16.81439017
108,1131.426527,11-11-2015 14:41:23,1071.410135,2,1,0.999833703,3.660249949,0.297566592,0,1.072007205,0,9.71E-05,0,0.357566592,0,,,0.297566592,,16.94938076
109,1141.442072,11-11-2015 14:41:33,1081.425681,2,1,1.000014305,3.661545038,0.300348218,0,1.082190041,0,0.000129509,0,0.360348218,0,,,0.300348218,,17.0843715
110,1151.457595,11-11-2015 14:41:43,1091.441204,2,1,0.999833703,3.662354469,0.30312986,0,1.092376086,0,6.48E-05,0,0.36312986,0,,,0.30312986,,17.21936301
111,1161.473099,11-11-2015 14:41:53,1101.456708,2,1,0.999833703,3.663649559,0.305911493,0,1.102565326,0,9.71E-05,0,0.365911493,0,,,0.305911493,,17.35435408
112,1171.488667,11-11-2015 14:42:03,1111.472276,2,1,0.999833703,3.664782763,0.308693108,0,1.112757713,0,9.71E-05,0,0.368693108,0,,,0.308693108,,17.48934428
113,1181.503645,11-11-2015 14:42:13,1121.487254,2,1,1.000014305,3.665915966,0.311470392,0,1.122937447,0,6.48E-05,0,0.371470392,0,,,0.311470392,,17.6241243
114,1191.504113,11-11-2015 14:42:23,1131.487722,2,1,0.999833703,3.666887283,0.314252067,0,1.133136517,0,6.48E-05,0,0.374252067,0,,,0.314252067,,17.75911742
115,1201.519506,11-11-2015 14:42:33,1141.503115,2,1,0.999653101,3.668344259,0.317033674,0,1.143338432,0,0.000161886,0,0.377033674,0,,,0.317033674,,17.89410723
116,1211.535049,11-11-2015 14:42:43,1151.518657,2,1,0.999833703,3.669315577,0.319815369,0,1.153543936,0,9.71E-05,0,0.379815369,0,,,0.319815369,,18.02910131
117,1221.550637,11-11-2015 14:42:53,1161.534246,2,1,0.999833703,3.67044878,0.322597045,0,1.163752434,0,0.000129509,0,0.382597045,0,,,0.322597045,,18.16409448
118,1231.566078,11-11-2015 14:43:03,1171.549687,2,1,1.000014305,3.67174387,0.325378652,0,1.173963802,0,0.000129509,0,0.385378652,0,,,0.325378652,,18.29908429
119,1241.581565,11-11-2015 14:43:13,1181.565174,2,1,0.999653101,3.672714949,0.328160269,0,1.184178146,0,9.71E-05,0,0.388160269,0,,,0.328160269,,18.43407459
120,1251.597159,11-11-2015 14:43:24,1191.580768,2,1,0.999653101,3.673686266,0.33094187,0,1.194395367,0,0.000129509,0,0.39094187,0,,,0.33094187,,18.56906411
121,1261.612585,11-11-2015 14:43:34,1201.596194,2,1,0.999653101,3.674495697,0.333723463,0,1.204615402,0,6.46E-05,0,0.393723463,0,,,0.333723463,,18.70405324
122,1271.628123,11-11-2015 14:43:44,1211.611732,2,1,0.999833703,3.675628901,0.336505134,0,1.214838449,0,0.000129509,0,0.396505134,0,,,0.336505134,,18.83904616
123,1281.643627,11-11-2015 14:43:54,1221.627236,2,1,1.000014305,3.676600218,0.339286777,0,1.225064011,0,9.71E-05,0,0.399286777,0,,,0.339286777,,18.97403772
124,1291.659152,11-11-2015 14:44:04,1231.642761,2,1,0.999833703,3.677409649,0.342068414,0,1.235292065,0,9.71E-05,0,0.402068414,0,,,0.342068414,,19.10902899
125,1301.674208,11-11-2015 14:44:14,1241.657816,2,1,0.999472499,3.67821908,0.344849906,0,1.245521953,0,6.48E-05,0,0.404849906,0,,,0.344849906,,19.24401322
126,1311.690207,11-11-2015 14:44:24,1251.673816,2,1,0.999653101,3.679028511,0.347631641,0,1.255755082,0,6.48E-05,0,0.407631641,0,,,0.347631641,,19.37900925
127,1321.705699,11-11-2015 14:44:34,1261.689308,2,1,0.999653101,3.679837942,0.350413281,0,1.265990104,0,3.24E-05,0,0.410413281,0,,,0.350413281,,19.51400066
128,1331.721213,11-11-2015 14:44:44,1271.704821,2,1,0.999833703,3.680647373,0.353194896,0,1.276227079,0,6.48E-05,0,0.413194896,0,,,0.353194896,,19.64899086
129,1341.736719,11-11-2015 14:44:54,1281.720328,2,1,0.999833703,3.681294918,0.355976547,0,1.28646627,0,3.24E-05,0,0.415976547,0,,,0.355976547,,19.78398281
130,1351.752282,11-11-2015 14:45:04,1291.735891,2,1,0.999653101,3.681942463,0.358758177,0,1.296707329,0,3.24E-05,0,0.418758177,0,,,0.358758177,,19.91897374
131,1361.767787,11-11-2015 14:45:14,1301.751396,2,1,0.999833703,3.682590008,0.36153977,0,1.3069501,0,6.48E-05,0,0.42153977,0,,,0.36153977,,20.05396287
132,1371.783341,11-11-2015 14:45:24,1311.76695,2,1,0.999653101,3.683237553,0.364321392,0,1.317194703,0,6.48E-05,0,0.424321392,0,,,0.364321392,,20.18895342
133,1381.798674,11-11-2015 14:45:34,1321.782283,2,1,1.000014305,3.683885098,0.367102948,0,1.327440792,0,6.48E-05,0,0.427102948,0,,,0.367102948,,20.32394075
134,1391.798793,11-11-2015 14:45:44,1331.782401,2,1,0.999833703,3.684532642,0.369880291,0,1.337672994,0,9.71E-05,0,0.429880291,0,,,0.369880291,,20.45872364
135,1401.814237,11-11-2015 14:45:54,1341.797846,2,1,0.999833703,3.685018301,0.37266189,0,1.347922471,0,6.48E-05,0,0.43266189,0,,,0.37266189,,20.59371306
136,1411.81425,11-11-2015 14:46:04,1351.797859,2,1,0.999833703,3.68550396,0.375439229,0,1.358157665,0,3.24E-05,0,0.435439229,0,,,0.375439229,,20.72849575
137,1421.829603,11-11-2015 14:46:14,1361.813211,2,1,0.999833703,3.685989618,0.378220824,0,1.368410061,0,3.24E-05,0,0.438220824,0,,,0.378220824,,20.86348498
138,1431.844901,11-11-2015 14:46:24,1371.82851,2,1,1.000014305,3.686475277,0.380998166,0,1.378648216,0,3.24E-05,0,0.440998166,0,,,0.380998166,,20.99826782
139,1441.860694,11-11-2015 14:46:34,1381.844303,2,1,0.999653101,3.687122822,0.383784158,0,1.388919619,0,6.48E-05,0,0.443784158,0,,,0.383784158,,21.13347043
140,1451.876334,11-11-2015 14:46:44,1391.859943,2,1,0.999833703,3.68760848,0.386565863,0,1.39917655,0,3.24E-05,0,0.446565863,0,,,0.386565863,,21.268465
141,1461.891177,11-11-2015 14:46:54,1401.874786,2,1,0.999833703,3.687932253,0.389343169,0,1.409418258,0,6.48E-05,0,0.449343169,0,,,0.389343169,,21.40324609
142,1471.891579,11-11-2015 14:47:04,1411.875188,2,1,0.999833703,3.688417912,0.392124723,0,1.419676816,0,6.48E-05,0,0.452124723,0,,,0.392124723,,21.53823333
143,1481.907069,11-11-2015 14:47:14,1421.890678,2,1,0.999833703,3.688741684,0.394906386,0,1.429937165,0,3.24E-05,0,0.454906386,0,,,0.394906386,,21.67322586
144,1491.922619,11-11-2015 14:47:24,1431.906228,2,1,0.999833703,3.689065456,0.397688018,0,1.440198568,0,0,0,0.457688018,0,,,0.397688018,,21.80821689
145,1501.938119,11-11-2015 14:47:34,1441.921728,2,1,0.999833703,3.689713001,0.40046966,0,1.450461142,0,6.48E-05,0,0.46046966,0,,,0.40046966,,21.9432084
146,1511.953673,11-11-2015 14:47:44,1451.937282,2,1,0.999653101,3.690036774,0.403251337,0,1.460725043,0,3.24E-05,0,0.463251337,0,,,0.403251337,,22.07820161
147,1521.968984,11-11-2015 14:47:54,1461.952593,2,1,1.000014305,3.690522432,0.406032947,0,1.470989713,0,6.48E-05,0,0.466032947,0,,,0.406032947,,22.21319157
148,1531.969043,11-11-2015 14:48:04,1471.952652,2,1,0.999833703,3.690684319,0.408810284,0,1.48123966,0,0,0,0.468810284,0,,,0.408810284,,22.34797416
149,1541.98458,11-11-2015 14:48:14,1481.968189,2,1,0.999653101,3.691169977,0.411591949,0,1.491506689,0,3.24E-05,0,0.471591949,0,,,0.411591949,,22.48296679
150,1552.000074,11-11-2015 14:48:24,1491.983683,2,1,0.999833703,3.691655636,0.414373562,0,1.501774597,0,3.24E-05,0,0.474373562,0,,,0.414373562,,22.61795689
151,1562.015594,11-11-2015 14:48:34,1501.999203,2,1,0.999653101,3.691817522,0.417155171,0,1.512043512,0,0,0,0.477155171,0,,,0.417155171,,22.7529468
